448846.7878;1659439.05;11361999.62;30933800.18
1573380.043;175206.1293;628436.6484;213374.6965
17500.28048;85194.98471;1897502.315;448913.0026
14677015.51;23412524.12;20732871.2;4870860.851
48655.41806;2818983.69;4075952.05;5118917.707
71386.60453;109994.9911;76131.1629;50707.56196
44341.62493;270141.4993;1179388.106;164284.7049
100984.9564;166169.789;989572.429;12595384.27
149225.0496;127078.0519;5231128.679;1213984.468
43580.71824;358.6329231;20730.61704;52049.94469
11049.0464;29301.15194;1818898.688;509770.2179
56260.81036;44310.29128;31008.46187;39906.36756
126220.5291;30107.39942;4558863.492;324608.6401
209093.7503;77295.94528;976393.0527;314112.4924
420312.8224;9396.423696;2002630.917;1174462.532
165786.5636;195926.1142;64266.28989;239601.7184
332087.6671;62780.25255;27061.91839;59945.04585
481533.652;1479874464;13398.40087;577520.7643
120733.4472;1012211.643;1811062.368;598768.9133
70619.11218;517.1726387;13928.99633;316004.3772
124197.6885;1408.47365;141028.0211;63654.58862
1083137.747;2573.480779;1553.775363;714595.9309
