5321078.147;2326315.25;40981224.22;2311364.089
27654975.87;62545.4888;1172632.528;50885.81467
2375.169071;529086.6533;5694425.595;189516.2069
145866553.5;21973578.52;504133945.9;11409777.67
123806.5361;5085025.15;4955679.074;295383.3929
15608.59083;448117.2533;3395308.902;306735.6556
6054081.758;101347755.7;40263348.19;1530.193621
184564.5577;287033.718;5505095.569;1147258.266
90841.04476;377054.5619;2884984.389;447876.4063
50.20500136;77.18074683;1051.115082;3069.697109
58302.13325;4329015.433;217834127.8;955408.1147
2669.005647;10736.20943;30872.92483;6380.407543
25191.00775;133706.0852;2224271.676;116907.1068
149744.9386;234868.2397;1641478.53;746845.721
1031925.419;487255.1334;5711597.793;630220.9407
110961.4162;203662.9873;767004.7866;61963.87238
127100.8282;4759.846466;43034.48029;3312.796696
5436444.9;509129.6378;61412.72161;2748.883882
62261.47398;239949.6232;2395745.241;154035.7064
2160.825208;8216.476204;39157.82981;1868.773459
21674.20928;91250.62984;731775.885;139143.2834
8608054.525;1402562.937;17828448.84;1800933.322
