ID	Pop.total	Pop.term	Study.total	Study.term	p	p.adjusted	p.min	name
GO:0000000	6178	5560	187	169	0.4921081529816187	1.0	0.0	"root"
GO:0000001	6178	29	187	4	0.010676389640218725	1.0	1.0978276143602658E-79	"mitochondrion inheritance"
GO:0000002	6178	45	187	2	0.3973741402019264	1.0	3.625916929173886E-115	"mitochondrial genome maintenance"
GO:0000003	6178	490	187	14	0.6307070529737028	1.0	0.0	"reproduction"
GO:0032774	6178	770	187	25	0.3849012438934296	1.0	0.0	"RNA biosynthetic process"
GO:0000011	6178	18	187	1	0.4253689073615104	1.0	3.8180740768516367E-53	"vacuole inheritance"
GO:0032781	6178	7	187	1	0.19366818091468052	1.0	1.4722174544616286E-23	"positive regulation of ATPase activity"
GO:0032784	6178	52	187	2	0.4702587529706296	1.0	7.516769299407848E-130	"regulation of DNA-templated transcription, elongation"
GO:0032786	6178	49	187	2	0.439637681317117	1.0	1.3044996159050566E-123	"positive regulation of DNA-templated transcription, elongation"
GO:0032787	6178	176	187	2	0.9724834090331489	1.0	0.0	"monocarboxylic acid metabolic process"
GO:0000022	6178	16	187	1	0.38883440737864416	1.0	4.736917559957599E-48	"mitotic spindle elongation"
GO:0016407	6178	61	187	1	0.8480523036710681	1.0	3.9160473451005534E-148	"acetyltransferase activity"
GO:0016409	6178	12	187	1	0.3086913568937785	1.0	1.5660462930279868E-37	"palmitoyltransferase activity"
GO:0016410	6178	51	187	1	0.7927908183888907	1.0	8.85677798026569E-128	"N-acyltransferase activity"
GO:0000027	6178	40	187	2	0.3426215628243299	1.0	2.1511849663005598E-104	"ribosomal large subunit assembly"
GO:0016411	6178	5	187	1	0.1424980325259039	1.0	1.3355029950948291E-17	"acylglycerol O-acyltransferase activity"
GO:0000028	6178	24	187	3	0.03461742819259247	1.0	6.788636849792917E-68	"ribosomal small subunit assembly"
GO:0016417	6178	11	187	1	0.2870735113656961	1.0	8.048172907631841E-35	"S-acyltransferase activity"
GO:0000041	6178	49	187	4	0.05991490167438002	1.0	1.3044996159050566E-123	"transition metal ion transport"
GO:0016427	6178	2	187	1	0.05962594872376672	1.0	5.2408833131183764E-8	"tRNA (cytosine) methyltransferase activity"
GO:0000045	6178	29	187	2	0.2185453484173798	1.0	1.0978276143602658E-79	"autophagosome assembly"
GO:0000049	6178	33	187	1	0.6383120597823022	1.0	7.548956042874796E-89	"tRNA binding"
GO:0000054	6178	49	187	2	0.439637681317117	1.0	1.3044996159050566E-123	"ribosomal subunit export from nucleus"
GO:0000056	6178	14	187	1	0.3499902822012758	1.0	7.497895487143899E-43	"ribosomal small subunit export from nucleus"
GO:0000059	6178	4	187	1	0.11571452360284812	1.0	1.6490790983396384E-14	"protein import into nucleus, docking"
GO:0000060	6178	5	187	1	0.1424980325259039	1.0	1.3355029950948291E-17	"protein import into nucleus, translocation"
GO:0000070	6178	123	187	3	0.7257521989351867	1.0	2.1933652665172294E-261	"mitotic sister chromatid segregation"
GO:0016458	6178	158	187	6	0.3447437542826992	1.0	1.560877E-318	"gene silencing"
GO:0000075	6178	87	187	5	0.1228623864695034	1.0	6.085129478386752E-198	"cell cycle checkpoint"
GO:0032844	6178	28	187	1	0.577907420755891	1.0	2.3281516649334116E-77	"regulation of homeostatic process"
GO:0000077	6178	31	187	2	0.24110011644337276	1.0	2.7007149428206348E-84	"DNA damage checkpoint"
GO:0016462	6178	426	187	18	0.09270840969535582	1.0	0.0	"pyrophosphatase activity"
GO:0000082	6178	64	187	1	0.8615681444578247	1.0	4.2791521454362524E-154	"G1/S transition of mitotic cell cycle"
GO:0000086	6178	32	187	2	0.25242161881164027	1.0	1.405935873923537E-86	"G2/M transition of mitotic cell cycle"
GO:0016482	6178	79	187	2	0.6962534332413896	1.0	4.922224260320552E-183	"cytosolic transport"
GO:0016485	6178	47	187	2	0.41869877287799884	1.0	2.084483341804701E-119	"protein processing"
GO:0016491	6178	333	187	9	0.6859928681653593	1.0	0.0	"oxidoreductase activity"
GO:0032879	6178	147	187	9	0.03373261112696403	1.0	5.534815809084123E-301	"regulation of localization"
GO:0032880	6178	65	187	4	0.1332031561802384	1.0	4.54931124389748E-156	"regulation of protein localization"
GO:0032881	6178	15	187	1	0.3697099151063564	1.0	1.8246014326231625E-45	"regulation of polysaccharide metabolic process"
GO:0000117	6178	7	187	1	0.19366818091468052	1.0	1.4722174544616286E-23	"regulation of transcription involved in G2/M transition of mitotic cell cycle"
GO:0032885	6178	11	187	1	0.2870735113656961	1.0	8.048172907631841E-35	"regulation of polysaccharide biosynthetic process"
GO:0032889	6178	14	187	2	0.06532560485411679	1.0	7.497895487143899E-43	"regulation of vacuole fusion, non-autophagic"
GO:0000122	6178	147	187	6	0.28578706845765894	1.0	5.534815809084123E-301	"negative regulation of transcription from RNA polymerase II promoter"
GO:0000131	6178	60	187	4	0.10736890225733074	1.0	3.9276028946387107E-146	"incipient cellular bud site"
GO:0000133	6178	6	187	1	0.16847452173963298	1.0	1.2980751612755431E-20	"polarisome"
GO:0000139	6178	144	187	1	0.9886537972671137	1.0	3.905394802944165E-296	"Golgi membrane"
GO:0000148	6178	4	187	1	0.11571452360284812	1.0	1.6490790983396384E-14	"1,3-beta-D-glucan synthase complex"
GO:0000149	6178	28	187	2	0.20733787936022524	1.0	2.3281516649334116E-77	"SNARE binding"
GO:0000151	6178	84	187	1	0.9256982295656684	1.0	2.1643461334368525E-192	"ubiquitin ligase complex"
GO:0000165	6178	33	187	1	0.6383120597823022	1.0	7.548956042874796E-89	"MAPK cascade"
GO:0000166	6178	901	187	35	0.06752995055282218	1.0	0.0	"nucleotide binding"
GO:0032934	6178	11	187	1	0.2870735113656961	1.0	8.048172907631841E-35	"sterol binding"
GO:0032940	6178	67	187	2	0.607210422838544	1.0	5.384267735282281E-160	"secretion by cell"
GO:0016558	6178	22	187	2	0.1420112585826474	1.0	4.659831018001235E-63	"protein import into peroxisome matrix"
GO:0016560	6178	6	187	2	0.012615586456485445	1.0	1.2980751612755431E-20	"protein import into peroxisome matrix, docking"
GO:0000177	6178	14	187	1	0.3499902822012758	1.0	7.497895487143899E-43	"cytoplasmic exosome (RNase complex)"
GO:0000178	6178	19	187	1	0.44281306552813393	1.0	1.1776527184989673E-55	"exosome (RNase complex)"
GO:0032947	6178	25	187	1	0.5369527023086058	1.0	2.7578147748486836E-70	"protein complex scaffold"
GO:0032950	6178	4	187	1	0.11571452360284812	1.0	1.6490790983396384E-14	"regulation of beta-glucan metabolic process"
GO:0016567	6178	132	187	1	0.9834522943969886	1.0	1.8567830572986262E-276	"protein ubiquitination"
GO:0000183	6178	32	187	1	0.6269618928372902	1.0	1.405935873923537E-86	"chromatin silencing at rDNA"
GO:0032951	6178	4	187	1	0.11571452360284812	1.0	1.6490790983396384E-14	"regulation of beta-glucan biosynthetic process"
GO:0016568	6178	245	187	6	0.7588676609049106	1.0	0.0	"chromatin modification"
GO:0000184	6178	31	187	1	0.6152575092777073	1.0	2.7007149428206348E-84	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"
GO:0032952	6178	2	187	1	0.05962594872376672	1.0	5.2408833131183764E-8	"regulation of (1->3)-beta-D-glucan metabolic process"
GO:0016569	6178	121	187	2	0.8865563840512237	1.0	5.3615388822973385E-258	"covalent chromatin modification"
GO:0032953	6178	2	187	1	0.05962594872376672	1.0	5.2408833131183764E-8	"regulation of (1->3)-beta-D-glucan biosynthetic process"
GO:0016570	6178	121	187	2	0.8865563840512237	1.0	5.3615388822973385E-258	"histone modification"
GO:0032954	6178	5	187	1	0.1424980325259039	1.0	1.3355029950948291E-17	"regulation of cytokinetic process"
GO:0016571	6178	30	187	1	0.6031879159556566	1.0	5.356127570444337E-82	"histone methylation"
GO:0032955	6178	5	187	1	0.1424980325259039	1.0	1.3355029950948291E-17	"regulation of barrier septum assembly"
GO:0032956	6178	41	187	2	0.35371490551861773	1.0	1.436927071006873E-106	"regulation of actin cytoskeleton organization"
GO:0016575	6178	24	187	1	0.5224412485347	1.0	6.788636849792917E-68	"histone deacetylation"
GO:0032968	6178	45	187	2	0.3973741402019264	1.0	3.625916929173886E-115	"positive regulation of transcription elongation from RNA polymerase II promoter"
