ID	Pop.total	Pop.term	Study.total	Study.term	p	p.adjusted	p.min	name
GO:0030476	6178	52	132	1	0.6762529529996026	1.0	7.516769299407848E-130	"ascospore wall assembly"
GO:0046872	6178	779	132	11	0.9549092490297939	1.0	0.0	"metal ion binding"
GO:0030488	6178	20	132	1	0.3511974469283926	1.0	3.8241685939355216E-58	"tRNA methylation"
GO:0046873	6178	58	132	3	0.12645947527313442	1.0	4.154857992310711E-142	"metal ion transmembrane transporter activity"
GO:0030490	6178	109	132	5	0.08321866106270606	1.0	2.3621906183320795E-237	"maturation of SSU-rRNA"
GO:0030515	6178	24	132	3	0.01390059791015146	1.0	6.788636849792917E-68	"snoRNA binding"
GO:0046903	6178	67	132	4	0.05436753545191371	1.0	5.384267735282281E-160	"secretion"
GO:0046907	6178	726	132	13	0.7916861349646698	1.0	0.0	"intracellular transport"
GO:0046912	6178	12	132	1	0.22849020408622403	1.0	1.5660462930279868E-37	"transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer"
GO:0030529	6178	674	132	18	0.18837998747216722	1.0	0.0	"intracellular ribonucleoprotein complex"
GO:0046914	6178	303	132	5	0.7833886334216695	1.0	0.0	"transition metal ion binding"
GO:0046915	6178	32	132	2	0.14865481247555243	1.0	1.405935873923537E-86	"transition metal ion transmembrane transporter activity"
GO:0046916	6178	68	132	2	0.42876875900662037	1.0	5.991330485981842E-162	"cellular transition metal ion homeostasis"
GO:0046930	6178	3	132	1	0.0627485713782294	1.0	2.5457658580480047E-11	"pore complex"
GO:0030554	6178	638	132	14	0.5004261878057932	1.0	0.0	"adenyl nucleotide binding"
GO:0046939	6178	35	132	1	0.5314113948964333	1.0	2.3793633275913584E-93	"nucleotide phosphorylation"
GO:0046942	6178	86	132	3	0.2785957507393563	1.0	4.2609895151956044E-196	"carboxylic acid transport"
GO:0046943	6178	73	132	1	0.7952556684776365	1.0	1.2702494880327932E-171	"carboxylic acid transmembrane transporter activity"
GO:0046983	6178	71	132	1	0.7861085232510807	1.0	9.01194208235465E-168	"protein dimerization activity"
GO:0030684	6178	182	132	8	0.04047584937936102	1.0	0.0	"preribosome"
GO:0030686	6178	89	132	5	0.04115371837205116	1.0	1.284803201654512E-201	"90S preribosome"
GO:0030687	6178	86	132	2	0.5525636074692972	1.0	4.2609895151956044E-196	"preribosome, large subunit precursor"
GO:0030695	6178	60	132	1	0.7280556535203558	1.0	3.9276028946387107E-146	"GTPase regulator activity"
GO:0030863	6178	72	132	1	0.7907316892805267	1.0	1.0624853936877942E-169	"cortical cytoskeleton"
GO:0030864	6178	72	132	1	0.7907316892805267	1.0	1.0624853936877942E-169	"cortical actin cytoskeleton"
GO:0030865	6178	22	132	1	0.3787163987190258	1.0	4.659831018001235E-63	"cortical cytoskeleton organization"
GO:0030866	6178	22	132	1	0.3787163987190258	1.0	4.659831018001235E-63	"cortical actin cytoskeleton organization"
GO:0030874	6178	4	132	1	0.08278374361710965	1.0	1.6490790983396384E-14	"nucleolar chromatin"
GO:0030880	6178	106	132	2	0.6667133827020023	1.0	4.196252336365329E-232	"RNA polymerase complex"
GO:0030896	6178	3	132	1	0.0627485713782294	1.0	2.5457658580480047E-11	"checkpoint clamp complex"
GO:0030897	6178	7	132	1	0.14037424422917674	1.0	1.4722174544616286E-23	"HOPS complex"
GO:0080090	6178	1107	132	26	0.32890392617647096	1.0	0.0	"regulation of primary metabolic process"
GO:0080135	6178	70	132	2	0.44341986312965903	1.0	7.752808766053241E-166	"regulation of cellular response to stress"
GO:0080134	6178	79	132	2	0.5066689336581134	1.0	4.922224260320552E-183	"regulation of response to stress"
GO:0031011	6178	15	132	1	0.2769935405749504	1.0	1.8246014326231625E-45	"Ino80 complex"
GO:0047429	6178	6	132	1	0.12158772109018476	1.0	1.2980751612755431E-20	"nucleoside-triphosphate diphosphatase activity"
GO:0031056	6178	23	132	1	0.3920382693149587	1.0	1.7410024921125108E-65	"regulation of histone modification"
GO:0031057	6178	4	132	1	0.08278374361710965	1.0	1.6490790983396384E-14	"negative regulation of histone modification"
GO:0031081	6178	9	132	1	0.1767592739210064	1.0	2.78396485469723E-29	"nuclear pore distribution"
GO:0031086	6178	8	132	1	0.15876196093043388	1.0	1.908562572615925E-26	"nuclear-transcribed mRNA catabolic process, deadenylation-independent decay"
GO:0031090	6178	1178	132	23	0.7201262451528959	1.0	0.0	"organelle membrane"
GO:0031098	6178	15	132	1	0.2769935405749504	1.0	1.8246014326231625E-45	"stress-activated protein kinase signaling cascade"
GO:0047484	6178	12	132	1	0.22849020408622403	1.0	1.5660462930279868E-37	"regulation of response to osmotic stress"
GO:0031109	6178	32	132	1	0.4998690005874812	1.0	1.405935873923537E-86	"microtubule polymerization or depolymerization"
GO:0031118	6178	5	132	1	0.10239380935159907	1.0	1.3355029950948291E-17	"rRNA pseudouridine synthesis"
GO:0031119	6178	9	132	1	0.1767592739210064	1.0	2.78396485469723E-29	"tRNA pseudouridine synthesis"
GO:0031120	6178	5	132	1	0.10239380935159907	1.0	1.3355029950948291E-17	"snRNA pseudouridine synthesis"
GO:0031123	6178	77	132	1	0.8124012948325396	1.0	2.9728333381028742E-179	"RNA 3'-end processing"
GO:0031124	6178	45	132	1	0.6229630490958107	1.0	3.625916929173886E-115	"mRNA 3'-end processing"
GO:0031160	6178	15	132	1	0.2769935405749504	1.0	1.8246014326231625E-45	"spore wall"
GO:0031167	6178	12	132	1	0.22849020408622403	1.0	1.5660462930279868E-37	"rRNA methylation"
GO:0031224	6178	1326	132	28	0.5631717770365078	1.0	0.0	"intrinsic component of membrane"
GO:0031226	6178	133	132	2	0.7825029292701186	1.0	4.084554194868975E-278	"intrinsic component of plasma membrane"
GO:0031227	6178	63	132	1	0.745283512750442	1.0	4.088596151429703E-152	"intrinsic component of endoplasmic reticulum membrane"
GO:0031228	6178	23	132	1	0.3920382693149587	1.0	1.7410024921125108E-65	"intrinsic component of Golgi membrane"
GO:0031229	6178	3	132	2	0.0013403043810260795	1.0	2.5457658580480047E-11	"intrinsic component of nuclear inner membrane"
GO:0031248	6178	59	132	5	0.008209636903149705	1.0	4.005500352079559E-144	"protein acetyltransferase complex"
GO:0031261	6178	22	132	1	0.3787163987190258	1.0	4.659831018001235E-63	"DNA replication preinitiation complex"
GO:0031262	6178	5	132	1	0.10239380935159907	1.0	1.3355029950948291E-17	"Ndc80 complex"
GO:0031267	6178	33	132	1	0.5106105059414594	1.0	7.548956042874796E-89	"small GTPase binding"
GO:0031300	6178	176	132	4	0.5223124857784768	1.0	0.0	"intrinsic component of organelle membrane"
GO:0031301	6178	171	132	4	0.4994974648311987	1.0	0.0	"integral component of organelle membrane"
GO:0031312	6178	47	132	1	0.6390195509021694	1.0	2.084483341804701E-119	"extrinsic component of organelle membrane"
GO:0031314	6178	27	132	1	0.44254966037288407	1.0	5.114450318230899E-75	"extrinsic component of mitochondrial inner membrane"
GO:0031323	6178	1126	132	26	0.36354419716918773	1.0	0.0	"regulation of cellular metabolic process"
GO:0031324	6178	453	132	11	0.37468213734445355	1.0	0.0	"negative regulation of cellular metabolic process"
GO:0031325	6178	475	132	10	0.5677387419650292	1.0	0.0	"positive regulation of cellular metabolic process"
GO:0031326	6178	909	132	22	0.2958151014163017	1.0	0.0	"regulation of cellular biosynthetic process"
GO:0031327	6178	347	132	9	0.3228993171457928	1.0	0.0	"negative regulation of cellular biosynthetic process"
GO:0031328	6178	373	132	6	0.8174030509256062	1.0	0.0	"positive regulation of cellular biosynthetic process"
GO:0031329	6178	135	132	3	0.5548899536174159	1.0	2.0223786356652205E-281	"regulation of cellular catabolic process"
GO:0031330	6178	58	132	1	0.7159329507169478	1.0	4.154857992310711E-142	"negative regulation of cellular catabolic process"
GO:0031331	6178	43	132	1	0.6061979986958497	1.0	6.891456172239944E-111	"positive regulation of cellular catabolic process"
GO:0031338	6178	11	132	1	0.21161542478899156	1.0	8.048172907631841E-35	"regulation of vesicle fusion"
GO:0031365	6178	14	132	3	0.0029206140815081156	1.0	7.497895487143899E-43	"N-terminal protein amino acid modification"
GO:0031396	6178	23	132	1	0.3920382693149587	1.0	1.7410024921125108E-65	"regulation of protein ubiquitination"
GO:0031397	6178	8	132	1	0.15876196093043388	1.0	1.908562572615925E-26	"negative regulation of protein ubiquitination"
GO:0031399	6178	140	132	5	0.17942636506259813	1.0	1.2577657010969888E-289	"regulation of protein modification process"
GO:0031400	6178	40	132	3	0.05308598857557299	1.0	2.1511849663005598E-104	"negative regulation of protein modification process"
GO:0031401	6178	72	132	3	0.19882718585369374	1.0	1.0624853936877942E-169	"positive regulation of protein modification process"
GO:0031406	6178	26	132	1	0.4303264967812338	1.0	1.1653369762157367E-72	"carboxylic acid binding"
GO:0031410	6178	129	132	2	0.767891339153899	1.0	1.8272918662582407E-271	"cytoplasmic vesicle"
GO:0031414	6178	8	132	2	0.011660227323901673	1.0	1.908562572615925E-26	"N-terminal protein acetyltransferase complex"
GO:0015031	6178	586	132	13	0.48681378118324425	1.0	0.0	"protein transport"
GO:0031415	6178	4	132	1	0.08278374361710965	1.0	1.6490790983396384E-14	"NatA complex"
GO:0031417	6178	3	132	1	0.0627485713782294	1.0	2.5457658580480047E-11	"NatC complex"
GO:0015075	6178	263	132	5	0.6686954654564967	1.0	0.0	"ion transmembrane transporter activity"
GO:0015077	6178	79	132	1	0.8204318245753484	1.0	4.922224260320552E-183	"monovalent inorganic cation transmembrane transporter activity"
GO:0015078	6178	52	132	1	0.6762529529996026	1.0	7.516769299407848E-130	"hydrogen ion transmembrane transporter activity"
GO:0015079	6178	14	132	1	0.26117178118400897	1.0	7.497895487143899E-43	"potassium ion transmembrane transporter activity"
GO:0031490	6178	8	132	1	0.15876196093043388	1.0	1.908562572615925E-26	"chromatin DNA binding"
GO:0031497	6178	39	132	1	0.5704168329440993	1.0	3.3015311270238543E-102	"chromatin assembly"
GO:0031501	6178	18	132	1	0.3224692177028898	1.0	3.8180740768516367E-53	"mannosyltransferase complex"
GO:0031503	6178	31	132	3	0.02771313249528333	1.0	2.7007149428206348E-84	"protein complex localization"
GO:0031505	6178	164	132	4	0.46682679824021117	1.0	0.0	"fungal-type cell wall organization"
GO:0031506	6178	23	132	2	0.08563524568461162	1.0	1.7410024921125108E-65	"cell wall glycoprotein biosynthetic process"
GO:0031515	6178	2	132	1	0.04227914904580258	1.0	5.2408833131183764E-8	"tRNA (m1A) methyltransferase complex"
GO:0097056	6178	2	132	1	0.04227914904580258	1.0	5.2408833131183764E-8	"selenocysteinyl-tRNA(Sec) biosynthetic process"
GO:0097064	6178	2	132	1	0.04227914904580258	1.0	5.2408833131183764E-8	"ncRNA export from nucleus"
GO:0015171	6178	44	132	1	0.6146710001950448	1.0	4.9425276540935887E-113	"amino acid transmembrane transporter activity"
GO:0015175	6178	15	132	1	0.2769935405749504	1.0	1.8246014326231625E-45	"neutral amino acid transmembrane transporter activity"
GO:0015179	6178	36	132	1	0.5414803670356544	1.0	1.3943851504690276E-95	"L-amino acid transmembrane transporter activity"
GO:0031570	6178	43	132	2	0.2339094978126657	1.0	6.891456172239944E-111	"DNA integrity checkpoint"
GO:0031573	6178	10	132	1	0.1943744102225381	1.0	4.5128300449227395E-32	"intra-S DNA damage checkpoint"
