Algorithm,Dataset,Tric,n_genes,n_conds,n_times,timed_out,TRIQ,GRQ,PEQ,SPQ
TCtriCluster,QualityC,17,8,4,2,False,0.7095032872817593,0.6394861683342712,0.9999631049838767,0.9791804211595468
TCtriCluster,QualityC,18,15,4,2,False,0.5714398257298292,0.6642997821622865,0.2,0.19999999999999993
TCtriCluster,QualityC,19,8,5,2,False,,0.20253164556964387,0.7500000000000117,
TCtriCluster,QualityC,20,9,4,2,False,,0.21126760563382452,0.0,
delta-Trimax,QualityC,1,5,4,3,False,,0.22366874150003835,0.30799205972797655,
delta-Trimax,QualityC,2,10,3,2,False,,0.9875026754587046,0.009489779897541895,
delta-Trimax,QualityC,3,9,5,3,False,,0.10221610555645144,0.4319920397304117,
delta-Trimax,QualityC,4,7,3,3,False,,0.3153864141132885,0.043976052810885034,
delta-Trimax,QualityC,5,2,3,3,False,,1.0,0.0,
delta-Trimax,QualityC,6,3,2,2,False,0.9543492447951623,0.9557698912696245,0.9315444524276161,0.9657888653670094
delta-Trimax,QualityC,7,10,3,2,False,,0.9975648423761959,0.06174478231577066,
delta-Trimax,QualityC,8,2,3,2,False,,1.0,0.0,
delta-Trimax,QualityC,9,18,3,2,False,,0.9970164465079439,0.010278086793207098,
delta-Trimax,QualityC,10,8,4,2,False,,0.9998653736417591,0.0010520853302432376,
delta-Trimax,QualityC,11,6,2,2,False,0.8907985965492748,0.9484022149517217,0.6567919621276801,0.6639762837512939
delta-Trimax,QualityC,12,12,2,2,False,,0.9967468924142989,0.022577469752760957,
delta-Trimax,QualityC,13,2,2,2,False,0.9377281505264751,0.9542826284849832,0.9430204773848854,0.7999999999999999
delta-Trimax,QualityC,14,29,2,2,False,,0.9958366873767859,0.09128562995434208,
delta-Trimax,QualityC,15,8,3,3,False,,0.9999995388016324,0.0,
delta-Trimax,QualityC,16,3,4,2,False,1.0,1.0,1.0,1.0
delta-Trimax,QualityC,17,8,2,2,False,0.9056963817295974,0.9212526991891377,0.8181979666250784,0.868744257157794
delta-Trimax,QualityC,18,12,3,3,False,,1.0,0.015151515151515152,
delta-Trimax,QualityC,19,8,3,2,False,,0.9995307151307159,0.0357142857142859,
delta-Trimax,QualityC,20,2,2,2,False,0.9101452374848045,0.9284741913680263,0.7792316529039172,0.8944271909999159
delta-Trimax,QualityC,21,18,2,2,False,,0.9654090154069048,0.0067442387659250825,
delta-Trimax,QualityC,22,7,4,2,False,,0.19347522308131293,0.06122448979591835,
delta-Trimax,QualityC,23,20,2,2,False,,0.9306685789528995,0.3253406032268274,
delta-Trimax,QualityC,24,8,2,3,False,0.9980628119677764,0.9986629308485828,0.9989503834707824,0.9923742894183183
delta-Trimax,QualityC,25,3,2,2,False,0.9865807573674197,0.9901940420576615,0.9784663718458951,0.9657888653670094
delta-Trimax,QualityC,26,2,2,2,False,0.6015649535188384,0.6248791512207506,0.5166163254223798,0.5000000000000001
delta-Trimax,QualityC,27,2,2,2,False,0.799604840520146,0.8670541222675867,0.6596154270607661,0.39999999999999997
delta-Trimax,QualityC,28,12,2,2,False,0.9090931863841061,0.9274864176834472,0.8305369692154716,0.840503553158011
delta-Trimax,QualityC,29,10,5,2,False,,0.13048364184237915,0.07288838296749726,
delta-Trimax,QualityC,30,27,2,2,False,,0.9985384499448221,0.013872190137834419,
delta-Trimax,QualityC,31,5,4,2,False,0.9834343300469707,0.9852544704687434,0.9871692328106791,0.9651383039090801
