0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;1;1;1;4;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
0;0;1;2;1;1;0;3;54;2;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1
1;3;3;5;10;3;10;16;21;10;1;3;4;2;0;0;1;0;0;0;0;0;1;1;0;0;0
0;4;5;7;10;15;14;25;100;93;64;47;8;2;1;0;0;0;0;0;0;2;0;0;1;0;1
1;2;9;16;7;9;6;6;23;30;51;87;25;6;3;4;1;1;1;5;5;3;2;3;1;0;0
0;3;3;16;9;6;4;2;5;5;3;5;6;8;15;6;3;4;8;16;3;9;6;3;0;0;0
0;0;0;1;0;2;3;2;0;0;2;7;5;10;19;20;8;0;10;10;10;5;5;0;3;0;0
0;0;0;1;0;0;1;0;0;0;0;0;2;3;5;11;18;7;13;16;12;2;2;0;2;0;2
2;9;2;0;0;0;0;0;0;0;1;1;0;1;4;6;3;4;4;8;14;3;4;3;1;1;0
0;3;3;0;0;0;0;0;0;0;1;1;5;1;0;1;0;1;3;1;0;10;3;1;1;0;2
2;0;2;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;3;1;0;12;13;7;3;2;1
1;1;1;2;0;0;0;0;0;0;0;0;0;1;0;1;1;0;4;4;7;16;12;6;1;1;0
0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;3;1;1;3;3;24;7;2;3;0;0;0
0;0;0;0;1;2;1;0;0;1;1;0;0;0;1;3;5;7;4;6;11;0;3;0;1;0;0
0;1;4;1;2;1;5;0;0;0;0;0;0;1;2;2;7;4;1;1;1;1;0;0;0;0;0
0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;1;0;0;0;1;0;0;0
