0;0;0;0;0;0;0;0;0;30;15;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0
0;0;0;0;0;7.1;7.1;5;3;0;7.1;7.1;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0
0;0;7.1;11.75;15;7.1;0;7.1;6.04;9.5;7.1;0;0;0;0;0;0;0;0;0;12;7.1;2;10.67;5;0;7.1
7.1;12;10;17.14;6.56;5.33;12.67;9;6.61;8.33;5;5;21.75;10;0;0;7.1;0;0;0;2;0;6.5;18;11;0;0
0;14.5;5.71;8;7.6;10.13;9.03;8.68;6.67;5.75;6.68;6.23;5.57;3.5;5;0;0;0;0;62;11;2;0;1;2;0;7.1
7.1;6;10.92;7.95;7.08;5.8;5.85;8.15;7.23;6.29;5.69;6.25;8.07;4.5;9.33;12;5;7.1;5.33;2.89;6.33;3.5;8;2.67;7.1;0;0
0;20.75;43.33;5.31;4.38;3.86;6.88;11.5;9.8;11;4.67;7;2.8;5.56;6.15;6.75;8.5;9;4.67;6.52;5.8;7.8;3;7.1;6;0;6
6;0;0;6.5;7.1;11;5;11;7.1;4;32.5;2.33;7;5.83;6.98;5.73;5.69;7.1;4;6.63;5.89;8.43;5;3;9;0;0
0;0;0;5;0;0;7.1;0;0;0;0;0;12.5;5.6;4;6.57;5.32;8.14;6;5.9;8.29;6.5;10;2;4;0;8.5
8.5;9.17;7.1;0;0;0;0;0;0;0;11;2;7;12;3;4;7.5;5.78;8.5;4;8.33;12.38;8;4.75;5.5;12;0
0;7.13;1;0;0;0;0;0;0;0;7.1;6;4.29;3.5;0;6;0;13;5;2;0;6.67;8.5;7.1;11;0;7.1
7.1;0;11.5;11;0;0;0;0;0;0;0;0;7.1;1.67;7.1;0;0;0;8.5;4;9;7.57;6.73;8.11;7.1;8;1
1;16;7.5;13.5;0;0;0;13;0;0;0;0;7.1;7.1;0;7.1;7.1;0;4.5;5.33;7.2;8.58;5.83;8.25;7;7.1;0
0;0;5;20;0;16.5;5;0;0;5;0;0;2;11;7.1;3;7.1;7;7.25;11;3.25;10.25;7;4;0;0;0
0;0;5;11;7.1;6;7.1;0;0;7.1;5;7.1;1;0;6.5;4;5;4.63;7;10;23;0;3.67;0;5;0;0
0;10;9.11;7.1;4;12;7.83;0;0;0;0;0;0;7.1;7.1;7.1;5;2.67;7.33;7.1;7.1;13.67;0;0;7.1;0;0
0;0;0;5;0;0;0;0;7.1;0;0;0;0;0;7.1;2;4.67;17.5;11;11;0;0;0;7.1;0;0;0
