9.66937,9.73226,9.84637,9.32053,9.85127,9.83435,9.37728,9.58122
11.3459,11.3719,11.3431,11.0337,11.3501,11.1127,10.8593,11.0226
11.0255,10.9558,11.133,10.7398,11.0544,11.0508,10.9414,10.551
8.91775,9.26918,9.31796,8.76407,9.0195,9.15735,9.03782,8.74105
9.50161,9.76077,9.89701,9.53522,9.84823,9.83899,9.60467,9.60474
9.41915,9.42148,9.26229,9.29776,9.2839,9.45913,9.49893,9.35818
11.4018,11.5195,11.6726,11.6456,11.4277,11.5484,11.5435,11.2085
8.24247,8.27577,8.23451,8.10854,8.12694,8.21093,8.25197,7.69526
10.3467,10.3513,10.3497,10.2688,10.434,10.363,10.3238,10.0095
11.0309,11.0351,11.0031,11.0906,10.93,11.1137,11.1667,11.2219
8.6977,8.71969,8.62834,8.83001,8.95281,8.88402,8.61985,9.05884
9.42261,9.42606,9.46176,9.04303,9.23966,9.37427,8.81309,8.61842
9.17887,9.05357,8.96761,8.4524,9.1699,9.08858,8.76353,8.89313
9.34291,9.34919,9.30708,8.98413,9.38684,9.50744,9.27143,9.29348
8.39505,8.87206,9.02493,8.36542,8.76145,8.84199,8.7704,8.27485
9.46509,9.8695,9.67693,9.72364,9.57074,9.53185,9.56859,9.15667
10.7371,10.9382,10.833,10.273,10.7843,10.9541,10.3204,10.0807
11.389,11.3963,11.4552,11.3995,11.6136,11.329,10.7869,11.0742
10.4819,10.1775,10.0175,10.3923,10.4788,10.2252,10.6054,10.3148
9.39334,9.01286,9.09336,9.23634,9.13892,9.11537,9.8639,9.39199
10.7017,10.7075,10.8102,10.7249,10.4826,10.8366,10.9361,10.7031
9.23912,9.36612,9.34391,9.17134,9.1303,9.21114,9.30055,9.29279
11.8984,12.1814,12.0416,11.691,12.1305,12.0356,12.2917,11.9029
7.52585,7.44458,8.0953,6.72247,7.86827,7.95486,7.42852,7.2087
7.80001,7.95692,8.02314,7.46789,8.1222,7.80944,6.85167,6.967
11.3907,11.705,11.7028,11.5785,11.8441,11.8105,11.995,11.5779
