2.797551261719999790e+09;2.793335891480000019e+09;2.777337652760000229e+09;2.761842085400000095e+09;2.771442599960000038e+09;2.851906656280000210e+09;2.887594331159999847e+09;2.879004397079999924e+09;2.865361560599999905e+09;2.929296805400000095e+09;2.812280761880000114e+09;2.835747795480000019e+09;2.755266541079999924e+09;2.758383346199999809e+09;2.730802804760000229e+09;2.664515193880000114e+09;2.719432206360000134e+09;2.757250077719999790e+09;2.756193967639999866e+09;2.717865335320000172e+09;2.720272795159999847e+09;2.643625532440000057e+09;2.773787705880000114e+09;3.177910744599999905e+09;3.247148688920000076e+09;3.326591359000000000e+09;3.450671325719999790e+09;3.465387081239999771e+09;3.314560585239999771e+09;3.250375499800000191e+09;3.441794128920000076e+09;3.369856096280000210e+09;3.404922410519999981e+09;3.110135238679999828e+09;2.745163288599999905e+09;2.376305261079999924e+09;2.363516289559999943e+09;2.394599963159999847e+09;2.485957679639999866e+09;2.547586630679999828e+09;2.623271676440000057e+09;2.701458070039999962e+09;2.696213782039999962e+09;2.701007638039999962e+09;2.680418456599999905e+09;2.641342678039999962e+09;2.650437902360000134e+09;2.622983799320000172e+09;2.575991807000000000e+09;2.626935986199999809e+09;2.689382096920000076e+09;2.768375804440000057e+09;2.795324617239999771e+09;2.786840843800000191e+09;2.873072073239999771e+09;2.902416636440000057e+09;2.349960505880000114e+09;2.461955746840000153e+09;2.608051744280000210e+09
2.806412115480000019e+09;2.824357912599999905e+09;2.793170080280000210e+09;2.814897560599999905e+09;2.849594157079999924e+09;2.880995739159999847e+09;2.915142560280000210e+09;2.975322727960000038e+09;2.877825386519999981e+09;2.893182301719999790e+09;2.983193765400000095e+09;2.988701559320000172e+09;2.963919182360000134e+09;2.813098016280000210e+09;2.695187403800000191e+09;2.566547311639999866e+09;2.674790644760000229e+09;2.764130763800000191e+09;2.675654470679999828e+09;2.638541121559999943e+09;3.147917759000000000e+09;3.420789142039999962e+09;2.615474971159999847e+09;1.417207796759999990e+09;1.682961076759999990e+09;1.708287988759999990e+09;1.181424999960000038e+09;3.621819689200000167e+08;1.741997993199999928e+08;1.871957391599999964e+08;2.473344450800000131e+08;1.984306550000000000e+08;4.427420303600000143e+08;1.182711374359999895e+09;1.882783143960000038e+09;2.625687696920000076e+09;3.150676617239999771e+09;3.456573456920000076e+09;3.169349851159999847e+09;2.640264009239999771e+09;2.459853377559999943e+09;2.609803168280000210e+09;2.676614027800000191e+09;2.730994159639999866e+09;2.714409752599999905e+09;2.674008902679999828e+09;2.631573733400000095e+09;2.612372704280000210e+09;2.603782770199999809e+09;2.641251885079999924e+09;2.630094708760000229e+09;2.678770930199999809e+09;2.740921604119999886e+09;2.834850996760000229e+09;2.918397124119999886e+09;2.857850474519999981e+09;2.371001355800000191e+09;2.537668783639999866e+09;2.506471950360000134e+09
2.818603022360000134e+09;2.841341083159999847e+09;2.816413431320000172e+09;2.844541254679999828e+09;2.891364816920000076e+09;2.884191282199999809e+09;2.922550153239999771e+09;2.945006619159999847e+09;2.903595188760000229e+09;2.911624160280000210e+09;2.924448114199999809e+09;2.845394198039999962e+09;2.813552618519999981e+09;2.730198447639999866e+09;2.731435122199999809e+09;2.397133116440000057e+09;2.351232423960000038e+09;3.007635723800000191e+09;3.427252829719999790e+09;2.732198076440000057e+09;1.320493981720000029e+09;1.885772098799999952e+08;1.767226076399999857e+08;2.381466050800000131e+08;2.729146025199999809e+08;3.267264476399999857e+08;3.413805686000000238e+08;3.495299548399999738e+08;3.576923279599999785e+08;3.601979100400000215e+08;3.587198684399999976e+08;3.483980226800000072e+08;3.393934838000000119e+08;3.045829647599999905e+08;2.865843138799999952e+08;2.687592950000000000e+08;2.144891356399999857e+08;3.457687926000000238e+08;1.200237026839999914e+09;2.585759942679999828e+09;3.538980801559999943e+09;2.789378249239999771e+09;2.487494153239999771e+09;2.607555311639999866e+09;2.631906116119999886e+09;2.668511279639999866e+09;2.663912308760000229e+09;2.614562295320000172e+09;2.586771332119999886e+09;2.630303929880000114e+09;2.659064682519999981e+09;2.644740258840000153e+09;2.660062153239999771e+09;2.728287942679999828e+09;2.852253728280000210e+09;2.825637055000000000e+09;2.513617327639999866e+09;2.568258123800000191e+09;2.486236130840000153e+09
2.841757472280000210e+09;2.879935231000000000e+09;2.870647917079999924e+09;2.850604737559999943e+09;2.869132046360000134e+09;2.870478608920000076e+09;2.883615059480000019e+09;2.903912928280000210e+09;2.916845241880000114e+09;2.877526818840000153e+09;2.762799551000000000e+09;2.707892550679999828e+09;2.709626748440000057e+09;2.605553752599999905e+09;2.481536260119999886e+09;3.191047533079999924e+09;3.689238463000000000e+09;2.703408447000000000e+09;4.996652585199999809e+08;1.685180431599999964e+08;2.481233781999999881e+08;2.687815388399999738e+08;3.099212431600000262e+08;3.317337078000000119e+08;3.728753372400000095e+08;3.707079106800000072e+08;3.883429647599999905e+08;3.830271273199999928e+08;3.937164713199999928e+08;3.918683151600000262e+08;3.860352450799999833e+08;3.781763701999999881e+08;3.501696681200000048e+08;3.503557750000000000e+08;3.717035253999999762e+08;3.697065359599999785e+08;3.657039503600000143e+08;3.338808540400000215e+08;2.725681346800000072e+08;1.999886556399999857e+08;6.531691279600000381e+08;2.423005830679999828e+09;3.445269200920000076e+09;2.607157093400000095e+09;2.296420893719999790e+09;2.423643306519999981e+09;2.572902639639999866e+09;2.615069467159999847e+09;2.596707391000000000e+09;2.620365897239999771e+09;2.653506489880000114e+09;2.660721663000000000e+09;2.615570692119999886e+09;2.680111123480000019e+09;2.738731854360000134e+09;2.786808685079999924e+09;2.546364207639999866e+09;2.559295154199999809e+09;2.438623092760000229e+09
2.877245380119999886e+09;2.894289238039999962e+09;2.878564130840000153e+09;2.899617890840000153e+09;2.904839223320000172e+09;2.851066477079999924e+09;2.815169396760000229e+09;2.825983704599999905e+09;2.792818080280000210e+09;2.761291826199999809e+09;2.660081250840000153e+09;2.606218510360000134e+09;2.501926015000000000e+09;2.923296078360000134e+09;3.656892125719999790e+09;2.383374109719999790e+09;4.659988265199999809e+08;2.054048374000000060e+08;2.576143068400000036e+08;2.877660636399999857e+08;1.668214415600000024e+08;2.818964265199999809e+08;3.452114217200000286e+08;3.698422031600000262e+08;3.918539305199999809e+08;3.991787305199999809e+08;3.971870198000000119e+08;3.976850370799999833e+08;4.014989353199999928e+08;4.004896962799999714e+08;3.963214274800000191e+08;4.033405788399999738e+08;4.114996060400000215e+08;4.079782261999999881e+08;4.038092021999999881e+08;4.006724009200000167e+08;3.865196124399999976e+08;3.616935798000000119e+08;2.602529833199999928e+08;1.367238134000000060e+08;1.083214965999999940e+08;2.003164021999999881e+08;5.803861391599999666e+08;2.477558119960000038e+09;3.325274223639999866e+09;2.390135284760000229e+09;2.265709825559999943e+09;2.476888884760000229e+09;2.568819291159999847e+09;2.614463732760000229e+09;2.634979181079999924e+09;2.607525078039999962e+09;2.625715526679999828e+09;2.654845426199999809e+09;2.680273783320000172e+09;2.737621820440000057e+09;2.633748850199999809e+09;2.546478207000000000e+09;2.467564601880000114e+09
3.064313683480000019e+09;2.888180814360000134e+09;2.847031586840000153e+09;2.880896559639999866e+09;2.867644466199999809e+09;2.875129611800000191e+09;2.820949863960000038e+09;2.796117144599999905e+09;2.741957659159999847e+09;2.691953588760000229e+09;2.554528777239999771e+09;2.502064608280000210e+09;3.422132366360000134e+09;2.794754907159999847e+09;4.356997545199999809e+08;1.773820969199999869e+08;2.564723522800000012e+08;3.023013493999999762e+08;3.029587471600000262e+08;3.194023516399999857e+08;2.030929423600000143e+08;3.056981647599999905e+08;3.835159413999999762e+08;4.021870326000000238e+08;4.081532764399999976e+08;4.055001794800000191e+08;3.971890191600000262e+08;4.071576693999999762e+08;4.093036150000000000e+08;4.151515381999999881e+08;3.541571471600000262e+08;3.428201180400000215e+08;4.221427650799999833e+08;4.293447951600000262e+08;4.291347164399999976e+08;4.184824770799999833e+08;4.079991951600000262e+08;3.948302889200000167e+08;3.723087426800000072e+08;3.075051791600000262e+08;2.175930281200000048e+08;2.913449461999999881e+08;3.160441948399999738e+08;2.117768591599999964e+08;6.448412380399999619e+08;2.687061661719999790e+09;3.237536503320000172e+09;2.218583287320000172e+09;2.420502770199999809e+09;2.607972217880000114e+09;2.645377568280000210e+09;2.653774655000000000e+09;2.611990887960000038e+09;2.621382624280000210e+09;2.539842256920000076e+09;2.594182719000000000e+09;2.595442077719999790e+09;2.444772151320000172e+09;2.481592377880000114e+09
2.802158498840000153e+09;3.052129578519999981e+09;2.909774975000000000e+09;2.955588161559999943e+09;2.890606342679999828e+09;2.892740468760000229e+09;2.803663945239999771e+09;2.779657604119999886e+09;2.721687901719999790e+09;2.536995319320000172e+09;2.712536956440000057e+09;3.627821986840000153e+09;1.545451856920000076e+09;1.892132802800000012e+08;2.807135580400000215e+08;2.887877826800000072e+08;2.886402012400000095e+08;3.149324047599999905e+08;3.392485366000000238e+08;3.497311401200000048e+08;3.578647695600000024e+08;3.705427906800000072e+08;3.815547791600000262e+08;3.975056501999999881e+08;4.021464873199999928e+08;3.980315714800000191e+08;4.001704130799999833e+08;4.026518620400000215e+08;4.051482946800000072e+08;4.179894569200000167e+08;3.780922741999999881e+08;3.627487554800000191e+08;4.154676649200000167e+08;4.136502543600000143e+08;4.173202473199999928e+08;4.238245058799999952e+08;4.151563253999999762e+08;4.109996047599999905e+08;4.031707689200000167e+08;4.058330946800000072e+08;4.001488783600000143e+08;3.895017692400000095e+08;3.435277660400000215e+08;3.115807554800000191e+08;3.128500086000000238e+08;2.208339369199999869e+08;1.257894936599999905e+09;3.404319814679999828e+09;2.318490441239999771e+09;2.370912871960000038e+09;2.579549180440000057e+09;2.622387913239999771e+09;2.636860345880000114e+09;2.604981367320000172e+09;2.608161952280000210e+09;2.624728697880000114e+09;2.779691201559999943e+09;2.434366117400000095e+09;2.589390286360000134e+09
2.768350125079999924e+09;2.856261833239999771e+09;2.885935435800000191e+09;2.901899071000000000e+09;2.929462450199999809e+09;2.897168016920000076e+09;2.809092960280000210e+09;2.761094324760000229e+09;2.525998575639999866e+09;3.178267273239999771e+09;3.598356397079999924e+09;7.974698204400000572e+08;2.430549212400000095e+08;3.363520732400000095e+08;2.950887951600000262e+08;3.164352246000000238e+08;3.327587343600000143e+08;3.434195190000000000e+08;3.593944130799999833e+08;3.645511413999999762e+08;3.800227036399999857e+08;3.803875164399999976e+08;3.881960489200000167e+08;4.061894825199999809e+08;4.184738857200000286e+08;3.993237852400000095e+08;4.237957929200000167e+08;4.238056796399999857e+08;4.264848118000000119e+08;4.341335004399999976e+08;4.198102748399999738e+08;4.281398133999999762e+08;4.298175836399999857e+08;4.264952693999999762e+08;4.266337577200000286e+08;4.308163958000000119e+08;4.224790415600000024e+08;4.159932073199999928e+08;4.103526287599999905e+08;4.060022031600000262e+08;4.080024463600000143e+08;4.051750748399999738e+08;3.838338678000000119e+08;3.607169679599999785e+08;3.530598773999999762e+08;3.595191721200000048e+08;2.755093186800000072e+08;6.663315599600000381e+08;3.214698896920000076e+09;2.513493357079999924e+09;2.296066510360000134e+09;2.568747111960000038e+09;2.641256493079999924e+09;2.666784751639999866e+09;2.674705555480000019e+09;2.617237208599999905e+09;2.728903878679999828e+09;2.308814721559999943e+09;2.614964435480000019e+09
2.642265151000000000e+09;2.886730868760000229e+09;2.860864551960000038e+09;2.866987155480000019e+09;2.858352521239999771e+09;2.834507214360000134e+09;2.792938428440000057e+09;2.569154172440000057e+09;3.644852135960000038e+09;3.563237019159999847e+09;7.244996444400000572e+08;2.635556137199999988e+08;3.163576335600000024e+08;3.362180188399999738e+08;3.049230812400000095e+08;3.375857423600000143e+08;3.575507727599999905e+08;3.637383618799999952e+08;3.637103529200000167e+08;3.563919759599999785e+08;3.806937410799999833e+08;3.870295081200000048e+08;4.006795663600000143e+08;4.115153756399999857e+08;4.066615439599999785e+08;3.970282921200000048e+08;4.134823286000000238e+08;4.151523369200000167e+08;4.301073705199999809e+08;4.084092073199999928e+08;3.431023785199999809e+08;4.254423030000000000e+08;4.286821878000000119e+08;4.304924713199999928e+08;4.325986550000000000e+08;4.329465615600000024e+08;4.462671606000000238e+08;4.386327362799999714e+08;4.264475279599999785e+08;3.963153730799999833e+08;3.816970793199999928e+08;3.953348009200000167e+08;3.890160962799999714e+08;3.833756226800000072e+08;3.801981941999999881e+08;3.600550620400000215e+08;3.455581865199999809e+08;2.983875548399999738e+08;3.590070287599999905e+08;2.997896551960000038e+09;2.794741994519999981e+09;2.301207233559999943e+09;2.600820261400000095e+09;2.668835050519999981e+09;2.712280493079999924e+09;2.679473156119999886e+09;2.722928116760000229e+09;2.381365718039999962e+09;2.786002431000000000e+09
2.744796148760000229e+09;2.855946889239999771e+09;2.871341216280000210e+09;2.890849184280000210e+09;2.877792951320000172e+09;2.825100868119999886e+09;2.651496692760000229e+09;3.280816439320000172e+09;2.954975781400000095e+09;4.837763113199999928e+08;2.597568527599999905e+08;2.876080322799999714e+08;2.761147817200000286e+08;3.162583106800000072e+08;3.247556009200000167e+08;3.467379292400000095e+08;3.613797033199999928e+08;3.740381225199999809e+08;3.727239849200000167e+08;3.752261724399999976e+08;3.728779996399999857e+08;3.803901481200000048e+08;3.900103900400000215e+08;4.005085788399999738e+08;4.048205558000000119e+08;3.950442511600000262e+08;4.021818690799999833e+08;4.136715663600000143e+08;4.096508303600000143e+08;3.073172751600000262e+08;1.223250729200000018e+08;4.054407286000000238e+08;4.289785973999999762e+08;4.341223849200000167e+08;4.409176668399999738e+08;4.274418370799999833e+08;4.397758991600000262e+08;4.424741007599999905e+08;4.381307945199999809e+08;4.231312246000000238e+08;4.011410703600000143e+08;3.781815439599999785e+08;3.718647926000000238e+08;3.785498178799999952e+08;3.803901301999999881e+08;3.740570101999999881e+08;3.410672373999999762e+08;3.097665193199999928e+08;2.922627983600000143e+08;3.318581340400000215e+08;2.891701119000000000e+09;2.992605277719999790e+09;2.434053436440000057e+09;2.691415346199999809e+09;2.741401230360000134e+09;2.755568946199999809e+09;2.641911824920000076e+09;2.473102542360000134e+09;2.735148412440000057e+09
