506.015,495.442,402.685,504.468,471.472,394.157
1561.74,1417.93,1169.93,1664.8,1686.98,1262.33
1694.25,1478.49,1918.71,1595.98,1574.02,1957.06
639.108,603.045,559.047,476.308,565.121,594.452
733.211,732.619,693.376,724.259,735.066,734.542
345.123,322.436,284.944,349.478,326.458,335.21
3075.95,3186.76,3271.65,3414.11,3280.7,3273.85
112.55,107.321,61.5613,120.674,115.858,101.153
731.328,696.472,745.957,790.494,736.249,800.53
1240.53,1425.25,1015.96,1338.17,1388.37,1114.39
574.247,602.965,685.966,645.128,511.237,718.026
877.138,894.486,861.962,940.408,971.122,838.159
362.47,338.956,299.517,343.532,360.62,356.803
1726.52,1520.48,1749.09,1833.5,1648.81,1616.66
247.722,206.006,247.664,235.082,231.659,288.847
634.754,564.936,653.728,638.943,661.705,668.99
405.937,397.533,235.738,354.637,361.064,215.557
764.969,706.263,613.058,844.832,749.582,648.68
1286.08,1251.88,1539.07,1215.68,1275.34,1424.74
210.209,237.019,217.227,215.251,238.97,268.943
1053.41,995.223,1078.17,1125,985.085,1344.48
479.186,514.512,657.444,520.486,538.207,646.099
4004.93,3959,3605.07,3897.09,3885.59,3766.04
217.542,186.894,207.554,210.112,218.616,209.739
161.217,155.104,103.756,134.174,141.706,119.409
3353.98,3514.96,3540.31,3627.26,3475.06,3684.84
399.384,395.712,418.77,458.519,387.18,448.044
1268.47,1218.49,1296.57,1393.9,1534.34,1408.57
549.414,523.429,540.163,496.96,500.533,459.098
1182.29,1173.84,1128.65,1279.65,1211.52,1093.03
1149.22,918.637,1273.18,1074.75,1043.35,1308.94
10142.3,10462.5,11202.2,10613.6,10238.2,10460.2
1228.73,1264.44,1376.99,1193.91,1176.44,1297.59
696.537,780.555,913.545,700.525,723.757,941.124
2682.74,2526.73,2107.03,2715.75,2429.91,2283
184.978,189.094,187.041,187.633,157.383,159.213
1021.62,923.434,510.902,972.433,886.193,516.666
519.115,649.051,634.907,582.217,550.136,606.98
575.077,572.883,615.79,621.71,546.494,616.684
114.091,225.633,192.784,227.168,161.078,147.295
468.333,398.715,253.527,394.314,362.678,230.62
394.489,428.773,385.322,361.865,397.213,395.606
220.961,239.204,264.293,230.329,208.18,274.353
522.493,579.697,495.303,452.075,608.359,501.635
1381.49,1307.99,1658.84,1300.89,1264.67,1425.9
73.3483,73.7523,75.8874,65.8724,84.7647,71.5811
9137.93,9170.89,10504,9391.04,9280.05,10462.4
344.366,412.362,381.888,378.384,348.73,320.589
627.832,642.521,677.017,552.911,643.612,552.082
436.462,420.899,419.957,416.993,409.408,413.136
213.062,202.973,148.113,212.484,189.318,156.481
191.072,160.226,177.279,175.73,185.873,181.468
658.638,702.53,573.904,687.773,652.401,606.814
1405.13,1250.69,1359.09,1404.96,1297.9,1298.96
1975.85,2070.35,2141.08,1941.87,2037.04,2108.48
899.071,822.747,794.32,1001.16,996.22,1013.25
547.221,624.397,718.631,570.113,588.614,756.281
481.417,462.767,450.579,384.634,427.339,318.709
1130.71,1109.73,1181.8,1233.24,1237.56,1401.35
398.649,393.88,558.715,365.544,400.895,490.124
707.772,726.802,673.073,685.535,662.19,783.602
131.521,144.567,125.008,150.036,127.139,117.178
101.975,78.8253,91.0103,131.726,101.506,121.072
1483.25,1460.81,1725.33,1744.55,1681.31,2090.73
1224.84,1227,1216.84,1414.4,1351.98,1378.69
1759.95,1848.57,1896.68,1880.04,1738.92,1843.61
1462.29,1498.71,1501.94,1336.77,1431.42,1206.97
286.517,270.572,361.944,259.053,288.254,324.767
425.204,409.445,438.814,354.185,386.667,362.654
530.469,567.177,571.432,520.528,545.637,510.404
1753.05,1632.56,1199.67,1753.16,1608.25,1322.85
1543.73,1446.46,1593.79,1431.3,1519.85,1533.57
214.398,213.275,216.556,206.693,212.275,224.907
205.659,221.5,219.074,183.915,195.717,172.682
1861.16,1717.53,1527.14,1824.99,1777.04,1542.46
362.791,435.22,396.399,401.506,360.643,393.082
140.533,151.695,126.24,152.055,144.597,154.247
730.587,782.912,696.163,653.371,602.541,677.023
402.724,347.016,276.696,391.378,352.345,283.931
593.747,568.189,540.942,709.879,653.482,707.409
391.135,357.369,332.716,260.205,354.888,388.197
323.508,290.559,200.742,324.89,303.631,239.794
628.876,609.068,530.503,567.177,537.829,422.242
484.661,600.264,503.666,515.336,511.382,460.754
1688.79,1810.86,1693.62,1857.2,1814.54,2040.43
