6.389133809;7.247952657;7.066561848;7.080724729
4.919385996;6.191473797;5.79009718;4.719044965
6.209669055;5.061479816;4.119072018;3.502005527
5.820729408;6.102216592;4.957005178;3.767538258
5.053871572;8.267082711;6.847450139;5.669645818
2.607772685;6.050722287;4.333077021;3.6274672
6.301739101;4.586932284;4.110084624;2.490695722
6.07842216;4.600062075;3.201564949;2.716517347
4.339665757;7.283004196;4.850426708;3.011763862
2.647108955;2.647108955;2.647108955;2.647108955
1.43274641;2.906204093;3.758026494;2.139603575
4.307992791;6.194329136;5.248630852;4.274229719
5.408852095;4.537941598;4.010861545;2.989713101
3.662542824;5.660467978;4.075213292;3.265125381
3.299629846;6.429876357;4.574008978;3.72634518
2.836601543;4.1250547;6.923331535;2.836601543
4.333205602;6.717309112;5.006184253;4.668790654
3.684135757;6.127293253;4.229130825;4.070790942
