t;s;g;el
0;0;0;-0.15
0;0;351;0
0;0;551;0.54
0;0;694;-0.35
0;0;914;0.1
0;0;1019;-0.03
0;0;1031;0.11
0;0;1144;-0.33
0;0;1159;-0.26
0;0;1164;-0.35
0;0;1209;-0.03
0;0;1272;0.24
0;0;1274;0.02
0;0;1296;-0.07
0;0;1297;-0.08
0;0;1365;-0.07
0;0;1400;0
0;0;1412;-0.19
0;0;1441;0.14
0;0;1460;-0.03
0;0;1494;0.1
0;0;1497;-0.16
0;0;1501;-0.21
0;0;1536;-0.04
0;0;1546;-0.23
0;0;1568;-0.19
0;0;1580;0.06
0;0;1619;-0.6
0;0;1625;-2.29
0;0;1630;0.17
0;0;1632;0.16
0;0;1640;0.31
0;0;1642;-0.34
0;0;1666;-0.12
0;0;1676;-0.13
0;0;1685;0.41
0;0;1700;-1.46
0;0;1711;-0.23
0;0;1725;0
0;0;1766;0.22
0;0;1825;0.11
0;0;1896;-0.74
0;0;1898;-0.34
0;0;1908;0.16
0;0;1942;0.22
0;0;1950;0.26
0;0;1968;-0.26
0;0;2007;1.72
0;0;2104;0.03
0;0;2191;-0.25
0;0;2251;0.26
0;0;2338;0.01
0;0;2446;0.36
0;0;2491;0.27
0;0;2555;-0.67
0;0;2694;-0.21
0;0;2813;0.15
0;0;2831;0.13
0;0;2940;0.25
0;0;2991;-0.37
0;0;3010;0.31
0;0;3073;0.23
0;0;3166;0.35
0;0;3312;0.19
0;0;3388;-0.41
0;0;3648;-0.12
0;0;3706;-0.48
0;0;3715;0.23
0;0;3733;-0.23
0;0;3799;0.1
0;0;3803;-0.01
0;0;3914;-0.23
0;0;3919;-0.13
0;0;4000;0.04
0;0;4028;0.25
0;0;4035;-0.12
0;0;4106;0.16
0;0;4123;-0.11
0;0;4131;0.18
0;0;4138;0.22
0;0;4158;-0.19
0;0;4177;0.18
0;0;4186;-0.66
0;0;4234;0.15
0;0;4262;-0.31
0;0;4375;0
0;0;4424;0.01
0;0;4444;0.36
0;0;4499;0.01
0;0;4608;-1.44
0;0;4755;0.07
0;0;4793;0.07
0;0;4818;1.03
0;0;4840;0.22
0;0;5000;-0.15
0;0;5013;-1.24
0;0;5064;0.28
0;0;5178;-0.11
0;0;5186;0.03
0;0;5230;-0.02
0;0;5244;-0.1
0;0;5279;-0.33
0;0;5359;-0.12
0;0;5366;0.11
0;0;5437;-0.08
0;0;5448;-0.15
0;0;5457;0
0;0;5470;-0.02
0;0;5544;-0.04
0;0;5585;0.49
0;0;5599;0
0;0;5713;0
0;0;5715;-0.22
0;0;5813;0.09
0;0;5933;-0.05
0;0;5988;-0.25
0;0;6016;0.02
0;0;6066;0.12
0;1;0;-0.16
0;1;351;0
0;1;551;0.74
0;1;694;-0.52
0;1;914;0
0;1;1019;-0.19
0;1;1031;-0.13
0;1;1144;0.09
0;1;1159;0.03
0;1;1164;0.01
0;1;1209;0.55
0;1;1272;1.42
0;1;1274;-0.52
0;1;1296;-0.91
0;1;1297;0.33
0;1;1365;-0.08
0;1;1400;0.1
0;1;1412;-0.27
0;1;1441;-0.09
0;1;1460;-0.73
0;1;1494;1.23
0;1;1497;-0.71
0;1;1501;-0.02
0;1;1536;-0.86
0;1;1546;-0.19
0;1;1568;-1.33
0;1;1580;0.74
0;1;1619;0.08
0;1;1625;-0.88
0;1;1630;1.17
0;1;1632;0.32
0;1;1640;-1.05
0;1;1642;-0.17
0;1;1666;-0.27
0;1;1676;0.78
0;1;1685;-0.43
0;1;1700;0
0;1;1711;0
0;1;1725;0
0;1;1766;0.39
0;1;1825;0.96
0;1;1896;0
0;1;1898;0.26
0;1;1908;0
0;1;1942;-0.52
0;1;1950;-0.46
0;1;1968;0
0;1;2007;-0.06
0;1;2104;0.3
0;1;2191;0.4
0;1;2251;0.24
0;1;2338;0.27
0;1;2446;-4.29
0;1;2491;0.96
0;1;2555;-0.34
0;1;2694;-0.49
0;1;2813;-0.49
0;1;2831;-0.09
0;1;2940;0.56
0;1;2991;-0.29
0;1;3010;0.49
0;1;3073;0.51
0;1;3166;0.15
0;1;3312;-0.41
0;1;3388;0.5
0;1;3648;-0.28
0;1;3706;-0.39
0;1;3715;-0.07
0;1;3733;-0.02
0;1;3799;0.92
0;1;3803;-0.27
0;1;3914;-0.09
0;1;3919;0.57
0;1;4000;0.24
0;1;4028;0.74
0;1;4035;0.37
0;1;4106;-0.82
0;1;4123;0.17
0;1;4131;-0.45
0;1;4138;-0.31
0;1;4158;-0.19
0;1;4177;-0.1
0;1;4186;-0.27
0;1;4234;0.63
0;1;4262;-0.57
0;1;4375;-0.27
0;1;4424;0.12
0;1;4444;0.01
0;1;4499;0.11
0;1;4608;-1.98
0;1;4755;-0.26
0;1;4793;0.48
0;1;4818;-0.53
0;1;4840;-0.18
0;1;5000;0.1
0;1;5013;-1.25
0;1;5064;0.41
0;1;5178;0.06
0;1;5186;0.06
0;1;5230;0.05
0;1;5244;-0.66
0;1;5279;0.55
0;1;5359;-0.21
0;1;5366;-0.07
0;1;5437;-0.94
0;1;5448;-0.89
0;1;5457;-0.03
0;1;5470;0.3
0;1;5544;0.3
0;1;5585;-1.11
0;1;5599;-0.86
0;1;5713;-0.27
0;1;5715;0.01
0;1;5813;-0.47
0;1;5933;0.33
0;1;5988;0.17
0;1;6016;-0.48
0;1;6066;-0.13
0;2;0;-0.19
0;2;351;-0.16
0;2;551;-0.51
0;2;694;0.02
0;2;914;-0.24
0;2;1019;0.96
0;2;1031;-0.62
0;2;1144;-0.77
0;2;1159;0.04
0;2;1164;-0.26
0;2;1209;-0.65
0;2;1272;0
0;2;1274;-0.84
0;2;1296;-0.42
0;2;1297;-0.3
0;2;1365;-0.41
0;2;1400;1.04
0;2;1412;0.16
0;2;1441;0.19
0;2;1460;0.13
0;2;1494;-0.53
0;2;1497;-0.08
0;2;1501;-0.16
0;2;1536;-0.34
0;2;1546;-0.35
0;2;1568;0.19
0;2;1580;-0.34
0;2;1619;1.17
0;2;1625;-1.05
0;2;1630;-0.44
0;2;1632;0.8
0;2;1640;0.53
0;2;1642;0.1
0;2;1666;-0.23
0;2;1676;-0.57
0;2;1685;-0.37
0;2;1700;0
0;2;1711;0
0;2;1725;0.51
0;2;1766;-0.73
0;2;1825;-0.02
0;2;1896;0
0;2;1898;-0.08
0;2;1908;1.74
0;2;1942;-0.68
0;2;1950;-0.1
0;2;1968;0.37
0;2;2007;0.87
0;2;2104;-1.14
0;2;2191;0.84
0;2;2251;0.82
0;2;2338;-0.23
0;2;2446;-0.11
0;2;2491;-0.27
0;2;2555;0.48
0;2;2694;0.53
0;2;2813;-0.36
0;2;2831;-0.11
0;2;2940;-0.08
0;2;2991;0.68
0;2;3010;0.36
0;2;3073;0.85
0;2;3166;-0.04
0;2;3312;-0.15
0;2;3388;0.09
0;2;3648;0.33
0;2;3706;0
0;2;3715;0.44
0;2;3733;-0.46
0;2;3799;0.01
0;2;3803;0.69
0;2;3914;-0.65
0;2;3919;0.04
0;2;4000;-0.64
0;2;4028;0.13
0;2;4035;-0.06
0;2;4106;-0.89
0;2;4123;-0.49
0;2;4131;0.68
0;2;4138;0.48
0;2;4158;-0.68
0;2;4177;0.4
0;2;4186;-0.05
0;2;4234;0.73
0;2;4262;-0.19
0;2;4375;-0.45
0;2;4424;0.66
0;2;4444;0.33
0;2;4499;-0.46
0;2;4608;-0.65
0;2;4755;-0.07
0;2;4793;0.26
0;2;4818;0
0;2;4840;-0.19
0;2;5000;-0.55
0;2;5013;-0.96
0;2;5064;-0.26
0;2;5178;-0.45
0;2;5186;0.09
0;2;5230;0.07
0;2;5244;-0.07
0;2;5279;0.63
0;2;5359;-0.34
0;2;5366;0.71
0;2;5437;0.06
0;2;5448;-0.29
0;2;5457;0.32
0;2;5470;-0.78
0;2;5544;0.16
0;2;5585;-0.43
0;2;5599;-0.13
0;2;5713;-0.12
0;2;5715;-0.95
0;2;5813;0
0;2;5933;-0.74
0;2;5988;0.97
0;2;6016;-0.11
0;2;6066;0.8
0;3;0;0.3
0;3;351;-0.6
0;3;551;0.25
0;3;694;0.58
0;3;914;-0.08
0;3;1019;0.27
0;3;1031;0.06
0;3;1144;-0.39
0;3;1159;-0.33
0;3;1164;-0.21
0;3;1209;-0.96
0;3;1272;0.7
0;3;1274;0.06
0;3;1296;0.44
0;3;1297;-0.66
0;3;1365;-0.16
0;3;1400;-0.22
0;3;1412;-1.06
0;3;1441;-0.38
0;3;1460;-0.2
0;3;1494;0.49
0;3;1497;-0.18
0;3;1501;-0.58
0;3;1536;-0.21
0;3;1546;0.09
0;3;1568;0.47
0;3;1580;-0.48
0;3;1619;-0.46
0;3;1625;-1.14
0;3;1630;-0.76
0;3;1632;-0.02
0;3;1640;0.44
0;3;1642;-0.64
0;3;1666;0.39
0;3;1676;-0.97
0;3;1685;-0.05
0;3;1700;-2.01
0;3;1711;0.9
0;3;1725;0
0;3;1766;0.63
0;3;1825;-0.58
0;3;1896;-1.06
0;3;1898;-0.18
0;3;1908;0.2
0;3;1942;0.24
0;3;1950;0.83
0;3;1968;-0.21
0;3;2007;1.15
0;3;2104;0.34
0;3;2191;-1.35
0;3;2251;-0.05
0;3;2338;-0.28
0;3;2446;-0.3
0;3;2491;0.07
0;3;2555;-0.21
0;3;2694;-1.07
0;3;2813;-1.05
0;3;2831;0.88
0;3;2940;-0.19
0;3;2991;0.54
0;3;3010;0.81
0;3;3073;0.02
0;3;3166;1.16
0;3;3312;-0.54
0;3;3388;-0.81
0;3;3648;0.27
0;3;3706;-1.36
0;3;3715;0.83
0;3;3733;-0.13
0;3;3799;-0.09
0;3;3803;0.45
0;3;3914;0.1
0;3;3919;0.2
0;3;4000;-1.1
0;3;4028;-0.1
0;3;4035;-0.44
0;3;4106;-0.53
0;3;4123;-0.29
0;3;4131;2.2
0;3;4138;0
0;3;4158;-2.39
0;3;4177;0.17
0;3;4186;-0.67
0;3;4234;-0.14
0;3;4262;-0.39
0;3;4375;-0.96
0;3;4424;0.72
0;3;4444;0.44
0;3;4499;0.54
0;3;4608;-1.52
0;3;4755;0.4
0;3;4793;0.19
0;3;4818;-0.23
0;3;4840;0.18
0;3;5000;-0.04
0;3;5013;-0.47
0;3;5064;-1.33
0;3;5178;-0.24
0;3;5186;0.15
0;3;5230;0.09
0;3;5244;1.14
0;3;5279;-0.22
0;3;5359;0.26
0;3;5366;-0.42
0;3;5437;-0.68
0;3;5448;0.99
0;3;5457;-0.28
0;3;5470;0.23
0;3;5544;0.67
0;3;5585;0.4
0;3;5599;0
0;3;5713;0.45
0;3;5715;0.37
0;3;5813;2.11
0;3;5933;0.38
0;3;5988;0.25
0;3;6016;-0.86
0;3;6066;0.74
1;0;0;-0.15
1;0;351;-0.6
1;0;551;0.06
1;0;694;0.03
1;0;914;-0.05
1;0;1019;0.36
1;0;1031;-0.15
1;0;1144;0
1;0;1159;-0.03
1;0;1164;0
1;0;1209;-0.24
1;0;1272;-0.49
1;0;1274;-0.05
1;0;1296;-0.2
1;0;1297;-1.03
1;0;1365;-0.13
1;0;1400;0.06
1;0;1412;-0.28
1;0;1441;-0.11
1;0;1460;0.08
1;0;1494;-0.79
1;0;1497;0
1;0;1501;0.46
1;0;1536;-0.07
1;0;1546;0.2
1;0;1568;0.51
1;0;1580;-0.21
1;0;1619;0
1;0;1625;0
1;0;1630;-0.63
1;0;1632;-0.01
1;0;1640;0.35
1;0;1642;-0.34
1;0;1666;0.07
1;0;1676;-0.56
1;0;1685;0.28
1;0;1700;-0.76
1;0;1711;0.53
1;0;1725;0
1;0;1766;0.12
1;0;1825;-0.36
1;0;1896;-0.04
1;0;1898;-0.42
1;0;1908;0.17
1;0;1942;-0.17
1;0;1950;0.37
1;0;1968;-0.44
1;0;2007;0.38
1;0;2104;-0.22
1;0;2191;-0.29
1;0;2251;0.08
1;0;2338;-0.47
1;0;2446;-0.06
1;0;2491;-0.6
1;0;2555;-1.16
1;0;2694;0.24
1;0;2813;-0.06
1;0;2831;0.07
1;0;2940;0
1;0;2991;2.68
1;0;3010;0.64
1;0;3073;0
1;0;3166;0.19
1;0;3312;-0.56
1;0;3388;-0.23
1;0;3648;0.58
1;0;3706;0.56
1;0;3715;0.05
1;0;3733;0.37
1;0;3799;-0.08
1;0;3803;0.18
1;0;3914;-0.26
1;0;3919;-0.22
1;0;4000;-0.09
1;0;4028;0
1;0;4035;-0.28
1;0;4106;-0.2
1;0;4123;-0.51
1;0;4131;1.31
1;0;4138;0.17
1;0;4158;-0.7
1;0;4177;-0.31
1;0;4186;0
1;0;4234;-0.1
1;0;4262;-0.15
1;0;4375;-0.46
1;0;4424;0
1;0;4444;0.09
1;0;4499;-0.38
1;0;4608;-1.64
1;0;4755;-0.19
1;0;4793;-0.08
1;0;4818;0
1;0;4840;0.23
1;0;5000;-0.33
1;0;5013;-0.78
1;0;5064;-0.43
1;0;5178;0.09
1;0;5186;-0.49
1;0;5230;-0.04
1;0;5244;-0.19
1;0;5279;0.3
1;0;5359;-0.07
1;0;5366;-0.05
1;0;5437;0.34
1;0;5448;-0.51
1;0;5457;-0.11
1;0;5470;-0.18
1;0;5544;-0.26
1;0;5585;0
1;0;5599;0
1;0;5713;0
1;0;5715;-0.2
1;0;5813;0.87
1;0;5933;-0.78
1;0;5988;-0.14
1;0;6016;0.04
1;0;6066;0.2
1;1;0;0.09
1;1;351;0
1;1;551;0.58
1;1;694;-0.35
1;1;914;0
1;1;1019;0.16
1;1;1031;-0.35
1;1;1144;0.22
1;1;1159;0.38
1;1;1164;0.24
1;1;1209;0.51
1;1;1272;0.75
1;1;1274;-0.85
1;1;1296;-1.02
1;1;1297;0.33
1;1;1365;-0.25
1;1;1400;0.1
1;1;1412;-0.05
1;1;1441;-0.03
1;1;1460;0
1;1;1494;1.06
1;1;1497;-0.06
1;1;1501;0.27
1;1;1536;-0.72
1;1;1546;-0.05
1;1;1568;-1.51
1;1;1580;0.15
1;1;1619;0.14
1;1;1625;0.25
1;1;1630;1.1
1;1;1632;0.28
1;1;1640;-0.28
1;1;1642;-0.07
1;1;1666;0.05
1;1;1676;0.74
1;1;1685;-0.37
1;1;1700;0
1;1;1711;0
1;1;1725;0
1;1;1766;0.3
1;1;1825;0.81
1;1;1896;0
1;1;1898;0.27
1;1;1908;0
1;1;1942;-0.56
1;1;1950;-0.45
1;1;1968;0
1;1;2007;0.23
1;1;2104;0.28
1;1;2191;0.08
1;1;2251;-0.03
1;1;2338;0.31
1;1;2446;0
1;1;2491;1.1
1;1;2555;-0.47
1;1;2694;0.17
1;1;2813;-0.38
1;1;2831;0.19
1;1;2940;0.22
1;1;2991;-0.21
1;1;3010;0.05
1;1;3073;0.4
1;1;3166;-0.02
1;1;3312;-0.02
1;1;3388;1.06
1;1;3648;0.17
1;1;3706;1.49
1;1;3715;0.17
1;1;3733;0.18
1;1;3799;0.57
1;1;3803;-0.02
1;1;3914;-0.19
1;1;3919;0.5
1;1;4000;0.87
1;1;4028;0.69
1;1;4035;0.59
1;1;4106;-1.55
1;1;4123;0.16
1;1;4131;-0.43
1;1;4138;0.21
1;1;4158;-0.11
1;1;4177;-0.56
1;1;4186;0.3
1;1;4234;0.27
1;1;4262;-0.69
1;1;4375;0.65
1;1;4424;0.05
1;1;4444;0.09
1;1;4499;-0.07
1;1;4608;-1.91
1;1;4755;0.03
1;1;4793;0.38
1;1;4818;0.1
1;1;4840;0.18
1;1;5000;0.01
1;1;5013;-0.1
1;1;5064;0.38
1;1;5178;-0.26
1;1;5186;0.02
1;1;5230;0.26
1;1;5244;-0.46
1;1;5279;-0.66
1;1;5359;0.04
1;1;5366;-0.01
1;1;5437;-1.19
1;1;5448;-2.23
1;1;5457;-0.31
1;1;5470;0.46
1;1;5544;0.03
1;1;5585;0.75
1;1;5599;-0.39
1;1;5713;-0.26
1;1;5715;-0.3
1;1;5813;-0.29
1;1;5933;0.32
1;1;5988;0.36
1;1;6016;-0.26
1;1;6066;0.11
1;2;0;-0.77
1;2;351;-0.3
1;2;551;-0.37
1;2;694;-1.43
1;2;914;0.2
1;2;1019;-0.23
1;2;1031;-0.68
1;2;1144;-0.39
1;2;1159;-0.45
1;2;1164;-0.01
1;2;1209;0.38
1;2;1272;3.78
1;2;1274;-0.21
1;2;1296;-0.22
1;2;1297;0.44
1;2;1365;-0.27
1;2;1400;1.31
1;2;1412;0.42
1;2;1441;0.17
1;2;1460;-0.31
1;2;1494;0.13
1;2;1497;-0.02
1;2;1501;0.29
1;2;1536;-0.39
1;2;1546;0.05
1;2;1568;-1.35
1;2;1580;-0.18
1;2;1619;0.89
1;2;1625;0.22
1;2;1630;0.21
1;2;1632;0.61
1;2;1640;0.43
1;2;1642;0.15
1;2;1666;-0.65
1;2;1676;0.1
1;2;1685;-0.2
1;2;1700;0.88
1;2;1711;0.69
1;2;1725;0.39
1;2;1766;0
1;2;1825;0.39
1;2;1896;-0.11
1;2;1898;0.11
1;2;1908;1.7
1;2;1942;-0.27
1;2;1950;-0.03
1;2;1968;-0.13
1;2;2007;0.43
1;2;2104;-0.14
1;2;2191;0.33
1;2;2251;0.38
1;2;2338;-0.01
1;2;2446;-0.21
1;2;2491;0.38
1;2;2555;0.14
1;2;2694;0.05
1;2;2813;-0.3
1;2;2831;-0.29
1;2;2940;0.25
1;2;2991;-0.32
1;2;3010;0.22
1;2;3073;0.28
1;2;3166;-0.07
1;2;3312;-0.31
1;2;3388;0.03
1;2;3648;0
1;2;3706;0.68
1;2;3715;0.55
1;2;3733;0.27
1;2;3799;0.22
1;2;3803;0.28
1;2;3914;-0.57
1;2;3919;-0.06
1;2;4000;0.06
1;2;4028;0.22
1;2;4035;-0.11
1;2;4106;-0.43
1;2;4123;-0.16
1;2;4131;-1.14
1;2;4138;1.27
1;2;4158;-0.29
1;2;4177;0.12
