t;s;g;el
9;0;35;0.13
9;0;112;-0.77
9;0;365;-0.14
9;0;369;0.11
9;0;381;-0.06
9;0;389;-0.16
9;0;413;-0.36
9;0;414;0.13
9;0;425;0.02
9;0;430;0
9;0;478;0.48
9;0;479;-0.02
9;0;490;0.38
9;0;496;0.38
9;0;532;0.03
9;0;617;0.17
9;0;759;0.22
9;0;792;-0.22
9;0;910;0.05
9;0;937;-0.1
9;0;1003;0.31
9;0;1066;-0.18
9;0;1082;-0.23
9;0;1158;0.07
9;0;1162;-0.2
9;0;1195;0.07
9;0;1219;-0.35
9;0;1242;0
9;0;1270;-0.23
9;0;1290;0.25
9;0;1292;-0.07
9;0;1327;0.14
9;0;1359;0.18
9;0;1393;-0.09
9;0;1420;0.13
9;0;1422;0.02
9;0;1427;-0.28
9;0;1442;-0.02
9;0;1451;-0.22
9;0;1464;0.38
9;0;1474;0.16
9;0;1490;0.26
9;0;1508;0.32
9;0;1544;-0.09
9;0;1585;0.07
9;0;1594;0.33
9;0;1601;-0.4
9;0;1671;0
9;0;1686;0.21
9;0;1694;-0.18
9;0;1698;0.32
9;0;1729;0.16
9;0;1757;-1.08
9;0;1765;-0.03
9;0;1781;-0.15
9;0;1796;0.14
9;0;1801;-0.06
9;0;1802;0.44
9;0;1841;-0.04
9;0;1866;0.33
9;0;1874;0.22
9;0;1938;-0.09
9;0;2003;0.06
9;0;2029;0.25
9;0;2036;-0.38
9;0;2111;0.16
9;0;2132;-0.24
9;0;2158;-0.42
9;0;2238;0.01
9;0;2266;-0.01
9;0;2277;-0.41
9;0;2281;-0.06
9;0;2352;0.12
9;0;2384;-0.1
9;0;2468;0.25
9;0;2516;0.45
9;0;2525;-0.27
9;0;2529;0.01
9;0;2612;0
9;0;2715;-1.31
9;0;2774;0.01
9;0;2815;-0.01
9;0;2875;-0.15
9;0;2963;0.29
9;0;2986;-0.09
9;0;2990;-0.05
9;0;2999;0.25
9;0;3002;-0.21
9;0;3031;0.04
9;0;3159;0.07
9;0;3232;-0.46
9;0;3267;0.1
9;0;3270;-0.22
9;0;3301;0.38
9;0;3324;-0.21
9;0;3401;-0.37
9;0;3451;-0.06
9;0;3456;-0.02
9;0;3483;-0.1
9;0;3484;-0.13
9;0;3541;-0.37
9;0;3570;0.28
9;0;3582;0.56
9;0;3594;-0.02
9;0;3646;0.39
9;0;3650;0.33
9;0;3697;-0.27
9;0;3700;0.12
9;0;3720;-0.22
9;0;3724;0.06
9;0;3747;-0.42
9;0;3772;0.23
9;0;3807;-0.06
9;0;3856;0.26
9;0;3863;0.1
9;0;4017;-0.12
9;0;4032;0
9;0;4116;0
9;0;4130;-0.22
9;0;4132;0.05
9;0;4163;0.42
9;0;4202;0.06
9;0;4231;0.22
9;0;4256;-0.09
9;0;4355;0.08
9;0;4380;0.06
9;0;4402;-0.09
9;0;4425;-0.02
9;0;4427;0.31
9;0;4449;-0.1
9;0;4482;0
9;0;4548;0.19
9;0;4552;0.1
9;0;4624;-0.56
9;0;4679;0.06
9;0;4686;-0.18
9;0;4715;0.21
9;0;4728;0.03
9;0;4736;-0.07
9;0;4739;0.2
9;0;4795;-0.23
9;0;4797;-0.18
9;0;4820;0.06
9;0;4847;-0.3
9;0;4988;0.22
9;0;5067;-0.01
9;0;5104;0.22
9;0;5114;0.31
9;0;5118;-0.14
9;0;5343;0.31
9;0;5347;0.2
9;0;5374;-0.38
9;0;5469;-0.41
9;0;5485;0.09
9;0;5492;-0.12
9;0;5500;-0.1
9;0;5522;-0.25
9;0;5655;-0.12
9;0;5656;0.32
9;0;5657;-0.16
9;0;5658;0.35
9;0;5659;-0.14
9;0;5660;0.4
9;0;5662;0.37
9;0;6011;-0.21
9;1;35;0.27
9;1;112;-1.32
9;1;365;-0.11
9;1;369;0
9;1;381;0.21
9;1;389;0.25
9;1;413;0.05
9;1;414;-0.05
9;1;425;-0.39
