t;s;g;el
2;0;29;-0.5
2;0;57;-0.9
2;0;65;0.28
2;0;67;0.17
2;0;70;0
2;0;82;-0.04
2;0;348;-0.41
2;0;379;0.78
2;0;400;0.37
2;0;445;0.81
2;0;489;-0.09
2;0;515;0.22
2;0;523;0.13
2;0;543;0.13
2;0;594;-0.32
2;0;607;0.04
2;0;644;-0.02
2;0;654;-0.49
2;0;663;0.13
2;0;677;-0.36
2;0;685;-0.14
2;0;702;-0.65
2;0;709;0.24
2;0;782;0.19
2;0;923;0.62
2;0;926;-0.12
2;0;947;0.25
2;0;983;0.4
2;0;1034;-0.01
2;0;1052;-0.59
2;0;1132;-0.02
2;0;1225;-0.23
2;0;1230;-0.01
2;0;1257;0.18
2;0;1264;-0.28
2;0;1269;-0.13
2;0;1273;0.12
2;0;1293;0.5
2;0;1313;0.07
2;0;1349;-0.03
2;0;1374;0.33
2;0;1421;0.04
2;0;1444;0.19
2;0;1446;-0.25
2;0;1477;0.4
2;0;1484;0
2;0;1644;0
2;0;1655;-0.09
2;0;1693;-0.35
2;0;1855;0.42
2;0;2100;-0.08
2;0;2121;0.13
2;0;2129;0.33
2;0;2241;0.09
2;0;2282;-0.12
2;0;2328;2.13
2;0;2356;0.18
2;0;2361;0.23
2;0;2395;-0.35
2;0;2409;-0.34
2;0;2452;-0.29
2;0;2463;0.52
2;0;2545;0.35
2;0;2616;-0.14
2;0;2820;0.04
2;0;2931;0.53
2;0;2951;0.12
2;0;2966;0.3
2;0;3003;0.05
2;0;3089;0.55
2;0;3131;1.11
2;0;3133;-0.18
2;0;3194;-0.17
2;0;3253;-0.18
2;0;3264;0.19
2;0;3325;-0.41
2;0;3327;-0.29
2;0;3355;0.21
2;0;3381;-0.02
2;0;3391;-0.44
2;0;3413;0.05
2;0;3445;0.24
2;0;3447;0.25
2;0;3455;0.03
2;0;3458;-0.11
2;0;3493;0.34
2;0;3506;0.33
2;0;3557;0.2
2;0;3565;0.45
2;0;3577;-0.11
2;0;3628;0.25
2;0;3805;-0.68
2;0;3821;0.11
2;0;3824;-0.22
2;0;3843;-0.09
2;0;3866;0.21
2;0;3877;-0.24
2;0;3898;-0.19
2;0;3921;0.23
2;0;3930;0.35
2;0;4009;0.3
2;0;4087;0.13
2;0;4141;0.39
2;0;4216;-1.44
2;0;4227;0.48
2;0;4294;-0.04
2;0;4426;0.19
2;0;4452;-0.19
2;0;4481;0
2;0;4511;0.1
2;0;4543;-0.08
2;0;4544;-0.25
2;0;4587;-0.01
2;0;4633;0.1
2;0;4642;0.5
2;0;4665;0.22
2;0;4778;0
2;0;4790;0.91
2;0;4806;0.06
2;0;4835;0.16
2;0;4886;0.09
2;0;4919;0.3
2;0;4930;-0.44
2;0;4938;-0.03
2;0;5111;0.1
2;0;5140;0.98
2;0;5155;-0.18
2;0;5163;0.09
2;0;5194;-0.1
2;0;5234;0.28
2;0;5296;-0.04
2;0;5305;-0.32
2;0;5385;0.12
2;0;5393;-0.36
2;0;5432;0.43
2;0;5434;-0.4
2;0;5564;0.13
2;0;5570;0.23
2;0;5579;0.49
2;0;5583;0.16
2;0;5622;-0.16
2;0;5716;0.07
2;0;5773;0.18
2;0;5780;-0.45
2;0;5782;0.94
2;0;5792;0.06
2;0;5795;-0.34
2;0;5828;-0.4
2;0;5835;0.02
2;0;5849;-0.04
2;0;5914;0.27
2;0;5917;-0.12
2;0;5949;-0.03
2;0;5976;0.21
2;0;6000;-0.26
2;0;6022;-0.34
2;0;6046;-0.13
2;0;6054;0.12
2;0;6068;0.34
2;1;29;-0.3
2;1;57;0.74
2;1;65;-0.12
2;1;67;1.09
2;1;70;0.19
2;1;82;0
2;1;348;-0.39
2;1;379;-0.87
2;1;400;-0.4
2;1;445;0
2;1;489;0.18
2;1;515;-0.06
2;1;523;0
2;1;543;0
2;1;594;0.37
2;1;607;-0.14
2;1;644;0.43
2;1;654;0.41
2;1;663;-0.73
2;1;677;-0.04
2;1;685;-0.23
2;1;702;0.01
2;1;709;-0.52
2;1;782;-0.21
2;1;923;-0.48
2;1;926;0.12
2;1;947;-0.43
2;1;983;-0.26
2;1;1034;-0.53
2;1;1052;-0.08
2;1;1132;-0.25
2;1;1225;0.17
2;1;1230;0.68
2;1;1257;0
2;1;1264;0.07
2;1;1269;-0.74
2;1;1273;0.04
2;1;1293;0.16
2;1;1313;0
2;1;1349;0.06
2;1;1374;0.05
2;1;1421;0.16
2;1;1444;0.08
2;1;1446;0.44
2;1;1477;0.14
2;1;1484;0.29
2;1;1644;0.47
2;1;1655;0.22
2;1;1693;0.42
2;1;1855;0.11
2;1;2100;0.47
2;1;2121;0.72
2;1;2129;0.39
2;1;2241;0.15
2;1;2282;-0.29
2;1;2328;0.76
2;1;2356;-0.18
2;1;2361;-0.97
2;1;2395;-0.6
2;1;2409;-0.41
2;1;2452;0.15
2;1;2463;-0.57
2;1;2545;-0.6
2;1;2616;-0.51
2;1;2820;-0.02
2;1;2931;-0.21
2;1;2951;0.08
2;1;2966;0.07
2;1;3003;-0.26
2;1;3089;0.61
2;1;3131;-0.74
2;1;3133;0.36
2;1;3194;0.31
2;1;3253;-0.17
2;1;3264;0.08
2;1;3325;-0.56
2;1;3327;-0.11
2;1;3355;0.02
2;1;3381;0.02
2;1;3391;0.06
2;1;3413;-0.04
2;1;3445;0.69
2;1;3447;-1.24
2;1;3455;0.46
2;1;3458;-0.19
2;1;3493;-0.1
2;1;3506;0.84
2;1;3557;-1.39
2;1;3565;0
2;1;3577;-0.17
2;1;3628;0.19
2;1;3805;0.37
2;1;3821;0.09
2;1;3824;0.25
2;1;3843;-0.74
2;1;3866;-0.3
2;1;3877;0.18
2;1;3898;0.05
2;1;3921;0.53
2;1;3930;-0.16
2;1;4009;0.18
2;1;4087;0.31
2;1;4141;-0.35
2;1;4216;-1.05
2;1;4227;0.63
2;1;4294;-0.14
2;1;4426;-0.08
2;1;4452;0.26
2;1;4481;0
2;1;4511;0.12
2;1;4543;-0.64
2;1;4544;-0.53
2;1;4587;0
2;1;4633;0
2;1;4642;-0.21
2;1;4665;-0.02
2;1;4778;0.66
2;1;4790;-0.88
2;1;4806;0.57
2;1;4835;0
2;1;4886;-0.58
2;1;4919;0.31
2;1;4930;0.33
2;1;4938;0.84
2;1;5111;0.5
2;1;5140;-0.17
2;1;5155;0.18
2;1;5163;0.5
2;1;5194;-0.05
2;1;5234;0.66
2;1;5296;-0.35
2;1;5305;0.07
2;1;5385;0
2;1;5393;0.19
2;1;5432;-0.1
2;1;5434;-0.11
2;1;5564;-0.7
2;1;5570;-0.15
2;1;5579;0.28
2;1;5583;0.23
2;1;5622;0.23
2;1;5716;0.52
2;1;5773;0.29
2;1;5780;0
2;1;5782;-0.26
2;1;5792;0.55
2;1;5795;0.59
2;1;5828;-0.09
2;1;5835;-0.18
2;1;5849;0.25
2;1;5914;0.29
2;1;5917;0.58
2;1;5949;-0.06
2;1;5976;-0.37
2;1;6000;-0.53
2;1;6022;-0.33
2;1;6046;0.26
2;1;6054;-0.21
2;1;6068;-0.25
2;2;29;-0.23
2;2;57;0.71
2;2;65;-0.15
2;2;67;-0.25
2;2;70;0
2;2;82;0.04
2;2;348;0.56
2;2;379;-0.05
2;2;400;0.06
2;2;445;-0.91
2;2;489;-0.33
2;2;515;-0.49
2;2;523;0.56
2;2;543;0.41
2;2;594;-0.95
2;2;607;-0.07
2;2;644;-0.24
2;2;654;-0.36
2;2;663;-0.58
2;2;677;0.62
2;2;685;-0.31
2;2;702;-0.01
2;2;709;-1.48
2;2;782;0.13
2;2;923;-0.06
2;2;926;0.01
2;2;947;-0.75
2;2;983;-0.7
2;2;1034;0.1
2;2;1052;-0.33
2;2;1132;-0.09
2;2;1225;-0.81
2;2;1230;0.01
2;2;1257;-1.73
2;2;1264;-0.78
2;2;1269;-1.07
2;2;1273;0.29
2;2;1293;-0.27
2;2;1313;-0.42
2;2;1349;-0.02
2;2;1374;-0.21
2;2;1421;-0.91
2;2;1444;0.51
2;2;1446;-0.31
2;2;1477;-0.06
2;2;1484;-0.22
2;2;1644;0.4
2;2;1655;-0.06
2;2;1693;-1.1
2;2;1855;-0.1
2;2;2100;-0.04
2;2;2121;0.17
2;2;2129;0.49
2;2;2241;-1.02
2;2;2282;0.01
2;2;2328;1.89
2;2;2356;0
2;2;2361;-0.18
2;2;2395;-0.04
2;2;2409;-0.13
2;2;2452;0.01
2;2;2463;-0.08
2;2;2545;-0.79
2;2;2616;-0.28
2;2;2820;2.94
2;2;2931;-0.94
2;2;2951;-0.02
2;2;2966;0.06
2;2;3003;-0.52
2;2;3089;1.16
2;2;3131;0.01
2;2;3133;-0.05
2;2;3194;0.09
2;2;3253;-0.38
2;2;3264;0.27
2;2;3325;-0.61
2;2;3327;-0.2
2;2;3355;0.79
2;2;3381;0.43
2;2;3391;-0.22
2;2;3413;-0.4
2;2;3445;1
2;2;3447;0.2
2;2;3455;0.01
2;2;3458;0.14
2;2;3493;0.57
2;2;3506;0.36
2;2;3557;-0.01
2;2;3565;-1.08
2;2;3577;-0.62
