0;0;0;1;0;1;0;1;0;3;0;2;1;0;0;0;0;0;0;0;4;4;3;5;0;0;12
12;10;0;3;0;0;3;0;0;0;1;6;9;12;4;0;0;2;6;3;2;1;1;10;0;0;0
0;4;8;18;24;38;5;1;0;0;2;2;1;1;1;1;0;0;3;12;23;21;17;2;0;0;0
0;0;0;0;1;2;0;0;1;1;4;29;19;19;4;0;0;0;0;0;2;2;2;0;0;1;0
0;15;53;15;13;4;1;0;0;0;0;1;1;7;0;0;1;3;23;70;19;5;4;0;0;0;0
0;1;0;0;0;0;0;5;94;28;200;37;8;1;0;0;0;0;0;0;0;0;1;1;0;2;14
14;184;52;6;1;0;0;0;0;0;1;1;0;0;1;1;2;1;102;86;6;2;0;2;1;0;0
0;0;1;0;0;0;1;0;3;64;146;13;9;0;1;3;0;0;0;1;0;0;0;0;0;4;12
12;44;9;13;4;2;8;1;1;1;1;0;0;0;0;0;2;2;8;24;23;9;1;3;3;1;1
1;0;1;0;0;0;0;0;1;4;23;60;9;5;0;2;0;1;4;2;1;0;0;0;0;0;6
6;10;35;15;12;2;0;1;4;8;2;1;0;0;0;1;0;1;4;20;31;5;0;0;1;2;5
5;10;4;0;0;0;0;0;1;10;1;17;12;2;0;0;3;11;5;2;0;0;0;0;0;3;12
12;19;21;8;3;4;6;8;6;3;1;0;0;0;0;1;9;35;23;27;12;1;1;6;6;8;1
1;1;0;0;1;1;1;6;8;14;22;21;0;2;9;27;14;1;0;0;0;1;0;2;3;24;9
9;4;11;13;22;26;13;0;3;0;0;0;1;2;0;2;8;5;2;5;4;33;18;5;3;0;0
0;1;0;4;1;1;4;4;3;3;6;1;14;10;4;0;0;1;0;1;1;1;1;1;4;3;2
2;2;1;3;2;0;1;1;0;0;0;0;0;0;0;0;0;0;2;0;2;1;0;0;0;0;0
