276.1,242.3,199.9,164.4
283.5,302.9,277.3,351.8
7.2,14.6,16.2,2.8
87.3,113.9,96.4,104.4
646.9,616.3,779.5,631.5
22,25.3,3.4,39.7
11.3,37.4,23.6,21.4
24.8,20,25.6,22.3
1.3,2.1,1.2,1.2
6.9,4.2,5.4,2.2
5.9,3.6,3.3,3.3
266.3,219.7,236.4,304.6
21.9,29.8,24.2,44.6
286.5,140.1,159.4,306.7
734.3,431.3,428.3,851.5
4.8,4.1,10.5,5.4
5.2,12.8,9.7,15
88,104.9,109.6,103.8
268.8,247.3,251.2,352.3
7.2,0.2,5.7,2.7
5.9,4,0.7,15.5
6.6,4.6,4.2,30.1
43.4,23.2,40.5,96.1
71.1,99.7,106.3,69.5
46.6,28.9,37,35.6
5.5,22.8,1.4,5.9
180.7,147.4,112.3,117.7
99.5,42,64.7,95.2
175.8,116.3,125.9,247.9
2.2,7.1,6.7,3.9
6.7,17.7,7.8,4.3
19.9,13,11.3,20.7
98.3,97.9,123.7,128.2
113.7,113.4,124.4,240.2
10.1,21.8,11.3,11.4
2.9,1.6,6.5,10.2
185.7,228.4,222.7,165.5
3.9,3.9,2.5,3.9
62.1,44.3,42.2,109
1.4,1.4,1.4,7.3
13.8,3.3,20.3,2.3
25.2,17.6,8.6,28.1
4.2,5.7,5.6,5.4
7.9,6.9,15.2,12.8
19.8,42.6,19.6,39.8
81.7,92.4,59,67.9
46,42.4,40.4,55.1
1.3,10.5,10.2,3.9
162.1,155.2,150.9,118.7
41.1,61.6,67.4,85.2
52.1,63.3,62,79.5
35.3,56,49.7,70.4
12.9,5.5,6.6,9.9
13.2,0.7,0.8,0.9
2.5,0.3,2.7,1.2
0.8,1.9,13.6,2
9.1,3.1,11.2,0.8
1.6,0.7,1.6,0.6
4.9,7.7,0.8,1.5
10.2,19.5,17.9,12.4
2.8,5.4,3.6,3.6
4.9,6.1,1.2,2
0.9,0.5,1.1,0.4
156.6,133.5,169.7,219.6
140.8,102.4,104.8,143.1
40.8,15.2,9.3,22.7
23.3,30.9,12.2,18
5.7,19.9,22.9,18.2
2,1.7,8.3,2.4
1,0.9,0.8,1.2
2.1,6.9,2.4,2.9
27.1,31.6,34.3,24.3
188.1,240.9,199.9,200.1
108.5,147,128.6,111.4
3.3,9.6,4.1,2.4
8,1.6,7.7,2
4.3,4.4,3.5,17.8
5.3,4.1,4.6,2.6
7.9,1.8,0.5,7.7
3.8,8.6,2.8,12.3
21.7,33.4,37.5,34.6
104,93.3,105.7,165.5
7.4,0.3,0.6,2.9
0.5,0.5,0.9,3.5
23.3,17.1,15.6,12.5
29,38.8,32.1,26.2
0.5,0.2,1.8,2.1
1.1,6,11.5,3.8
26.3,46.4,38.1,14.2
19.8,4.3,31.8,33.3
9.8,21.3,22.4,21.2
0.5,0.2,3,3.5
13.7,19,5.9,0.7
14.8,3.9,20.1,19.2
1.6,10.5,13.3,2.7
6.3,11.8,6.9,12.2
4.5,5.2,9.2,9
6.2,0.3,0.7,2.1
5.5,1.2,0.6,7.3
12.9,2.8,4,2.6
1.8,5.3,11.8,6.4
2,4.8,0.7,7.4
3.9,8.4,2.7,2
1.8,1.4,10.7,9.1
3.9,6,1.5,0.5
11.5,12,13.9,14.9
6.6,21.2,8.3,15.1
16.9,4.1,11.6,7.5
7.8,2,1.5,2.9
3.8,4,4.9,6.9
10.7,0.6,8.3,8.4
