166.1,220.4,187.3,176.6
156.2,136.3,134.6,385.2
20.6,20.9,11.1,13
119.9,123.4,89.7,102.6
816.1,651.7,554.6,560.1
15.4,22.5,19.3,33.9
20.5,12.6,17,29.6
41.2,28.5,31.8,11.1
0.6,1.4,1,7.1
6.9,0.7,7,1.1
7.3,8.9,9,5.7
346.3,256,253.6,238
37,54.1,16.3,41.8
131.8,89.4,84.7,262.4
369.4,239.6,239.1,849.5
7.4,6,19.9,5.4
1,3.7,11.4,16.1
87.9,101.8,93.7,86
333.1,221.3,263.3,373.3
5.4,11.5,5.3,16.2
1.8,13,1.8,18.4
5.4,4.2,6.4,9.1
43.9,29.4,24.5,79.3
53.3,74.9,77,75.1
32.9,22.2,31.3,31.4
34.6,5.8,4.1,35
159.4,134.4,139.7,125.2
116.7,61.8,56,122.6
148,117.2,107.9,227.2
9.5,6.3,10.9,7
5,13.1,22.1,14.7
14.7,9.3,24.2,5.8
65.3,100.9,88.4,103
152.3,116,118.9,260.3
9.4,3.7,3,3
13.5,17.1,15.3,4.1
172.3,163.1,160.5,178.8
3.4,3.6,3.9,6.1
77.8,44.4,39.4,68
1.1,0.7,1.8,1.4
3,30.5,27.5,6.9
30.9,30.3,20.8,28.3
9.8,10.5,13.4,0.4
20.3,1.2,18.3,1.6
9.1,18.6,26.5,41
46.4,63.7,68.5,55.2
38.2,30.2,32.9,62.2
0.7,19.2,10.8,0.5
167.1,161.3,135.6,122.8
31.7,40.2,37.5,57.8
97.7,74.5,85,61.7
45.5,43.5,45.2,84.7
12.2,4.8,2.3,22
6.3,7,2.7,18.5
2.7,6.6,0.8,3.9
10.7,15.9,5.2,9.3
4.7,6.2,6.8,2
1.3,0.4,0.8,2.4
6.7,13.8,6.1,15.3
19.4,20.5,20,18.1
1.4,2.4,2.2,1.1
5,5.9,12.9,8.5
6.2,7.7,0.6,1
184.8,153.8,185,208.5
125.8,115.1,127.2,150.5
10,6.8,4.7,11.4
15.6,20.4,21,34.8
27.4,10.7,4.7,6.8
6.8,8.7,5.9,3.6
2.6,1.3,0.9,1.3
10.9,1.2,3.8,2.8
28.8,30.4,46.7,27.9
180.5,208.4,203.3,197.3
126.9,164.7,179.1,118.7
10.1,3.3,3.7,6.5
3.3,7.6,2.2,12.5
4.3,5.5,3.8,7.4
8.4,2.8,8,6.6
8,5.6,1.4,0.6
7.2,11.7,10.4,5.8
16.5,42.2,48.1,43.5
87.7,50.1,72.4,150.7
5.8,3,1.1,5.5
3.4,0.4,1.5,1.8
10,14.3,6.4,17.7
35.1,62.6,50.6,36.3
0.9,0.4,NA,0.3
0.6,2.3,0.3,2.5
39.9,64.1,81.6,32
33.2,24.5,4.3,7.6
14.8,0.7,10.7,24.7
0.3,2.6,0.5,0.4
9.3,1.5,12.4,0.4
3.2,18.8,14.3,21.9
15.7,2.4,8.9,9.5
4.4,6.6,3.5,9.3
4.8,3.2,6.9,6.7
7.8,3.5,0.5,1.3
0.5,3.8,1,1.5
7.3,4.1,8.4,10.1
13.3,9.7,3.5,5.1
