517.7;356.3;312.7;437.8;566.4;720.9;312.9;586;493.5;488;501.9;454.8
1543.7;824.1;963.3;1092.6;1181;1844.8;649.4;1217.6;1137.4;1115.9;1214.8;1063.9
428.7;304.7;354.6;363.8;448.8;556.6;277.9;571;344.4;511.3;421.3;409.2
1587.3;1248;1049.7;1240;1515;2043.5;889.3;1733.3;1336.8;1485.5;1499.3;1479.5
1148.5;1014.8;961.2;1111.5;1151;1528.9;540.3;1094;965.3;1170.5;960.8;1085
1504.3;1375.2;986.7;1355.2;1002.4;1289.8;483.1;1065.4;821.7;976;952.8;1073.2
10645;8097;7740.7;9511.5;8022.7;9949.7;4696.2;8701.6;6828.9;8035;7073.2;8067.2
17436.9;16113.1;13383.9;15947.3;14048.9;18792.4;7185.9;17949.7;12131.5;14599.3;11667.7;16766.2
23185.9;23054.9;17588.1;22381.9;22795.2;27546.9;14740;32671.5;20179.4;26079.8;19652.8;28738.3
55.3;5.9;23;36.4;34.5;37.3;11.8;43;31.1;4.4;51;17.1
21.1;17.2;22.5;40.2;47.7;49;32.2;27.3;35;44.7;70.5;45.8
10;7.9;7.1;6.5;3.5;9.1;5.1;8.6;7.3;2.5;4.9;5.4
19.4;11.4;1.8;13.2;15;2.9;5.5;5.9;2.3;28.3;3.2;2.9
5.4;9.9;8.9;8.3;6.6;11.6;16.3;10.8;4;8.7;40.7;8.5
6.2;31.6;19.5;16.9;28.5;8.7;8;34.8;6;2.9;6.1;18.6
5.4;3.9;1.7;3.4;3.2;11.7;6.3;7.8;2.6;6.1;4;4.9
10.9;5.3;1.9;5.4;6.6;8.1;8.7;9.3;25.4;17.6;7.8;8
40.6;48;18.6;65.5;82.8;31.4;112.8;28.4;19.7;47;77.3;23.1
15.2;10.5;4.4;6.2;25.2;15.7;16.2;19.5;8.1;7.9;85.1;12.8
38.1;31.7;24.6;12;8.4;7.3;7.1;50.1;13.3;17;7.3;42.7
17.3;8.1;4.8;14.6;12.1;13.6;32.5;11;15.6;12.6;13.1;9.9
15.9;17.2;9.7;5.5;35.2;43.7;9.5;14.8;15.8;6.6;41.4;16.4
2.7;4.4;5;5.4;6.6;8.8;6.1;11.6;4.7;2.1;8.4;5.2
14.9;3.2;3.4;6.3;3;3.5;3.7;5;3.8;2.4;3.1;12.6
325.6;434.2;387.2;405.3;635.5;881.3;415.1;885.3;698.8;686.4;431.8;656.7
784.6;1024.8;798.1;622.8;1282.3;1420;703.2;1583.4;1115.4;1225.6;886;997.1
870.9;784.4;549.7;649.1;1118.5;1270.2;578.7;1351.8;1057.1;1101;710.6;1109.9
1660.5;1764;1376.9;1388.5;2067.6;2453.6;1212.6;2983.3;1603.4;2141;1711.4;1955.6
1811.4;2016.1;1668.5;1693.4;2240.6;2762.8;1453.9;2954.5;1726;2037.4;1728.3;2235.3
7132.8;7294.3;6341.5;6654.7;6251.7;5979.2;3985.1;7946.7;5301.6;6510.1;4154;6089.4
8902.6;8476.2;7698.7;7865.5;8785.7;9524.7;5217.4;9897.3;7080.3;8347.5;6130.8;7856.3
37087.1;32583.7;25406.7;29696;34285.7;41655.5;24306.1;47173.6;29514.4;35032.4;31143.4;36241.4
38955;35978.3;27058.6;27419.3;34784;49423.7;25429.1;50535.2;28765.2;36285.6;34872.4;39547
7.3;2.5;1.7;7.3;6.5;22.3;7.9;19;1.5;6.4;6.8;2.6
