ID	Pop.total	Pop.term	Study.total	Study.term	p	p.adjusted	p.min	name
GO:0000000	6178	5560	193	174	0.5309907937005028	1.0	0.0	"root"
GO:0000002	6178	45	193	3	0.1650159192300062	1.0	3.625916929173886E-115	"mitochondrial genome maintenance"
GO:0000003	6178	490	193	15	0.5729874177000217	1.0	0.0	"reproduction"
GO:0032774	6178	770	193	30	0.11583438544377322	1.0	0.0	"RNA biosynthetic process"
GO:0000009	6178	9	193	1	0.24861144969050664	1.0	2.78396485469723E-29	"alpha-1,6-mannosyltransferase activity"
GO:0000011	6178	18	193	1	0.4356545686690146	1.0	3.8180740768516367E-53	"vacuole inheritance"
GO:0032780	6178	4	193	1	0.11925254570544223	1.0	1.6490790983396384E-14	"negative regulation of ATPase activity"
GO:0032781	6178	7	193	1	0.1993068430047315	1.0	1.4722174544616286E-23	"positive regulation of ATPase activity"
GO:0032787	6178	176	193	5	0.649271082941355	1.0	0.0	"monocarboxylic acid metabolic process"
GO:0000022	6178	16	193	1	0.39856662709917556	1.0	4.736917559957599E-48	"mitotic spindle elongation"
GO:0016409	6178	12	193	1	0.3169614650174505	1.0	1.5660462930279868E-37	"palmitoyltransferase activity"
GO:0016410	6178	51	193	1	0.8031558982641892	1.0	8.85677798026569E-128	"N-acyltransferase activity"
GO:0000027	6178	40	193	2	0.35688198342222344	1.0	2.1511849663005598E-104	"ribosomal large subunit assembly"
GO:0000030	6178	45	193	2	0.4128594514719821	1.0	3.625916929173886E-115	"mannosyltransferase activity"
GO:0000032	6178	23	193	2	0.16044168531827702	1.0	1.7410024921125108E-65	"cell wall mannoprotein biosynthetic process"
GO:0016417	6178	11	193	1	0.29489476979733437	1.0	8.048172907631841E-35	"S-acyltransferase activity"
GO:0032806	6178	13	193	1	0.3383410364169226	1.0	3.3017518341544422E-40	"carboxy-terminal domain protein kinase complex"
GO:0000041	6178	49	193	2	0.4558725924514612	1.0	1.3044996159050566E-123	"transition metal ion transport"
