ID	Pop.total	Pop.term	Study.total	Study.term	p	p.adjusted	p.min	name
GO:0000000	6178	5560	197	173	0.8747477384599873	1.0	0.0	"root"
GO:0000001	6178	29	197	2	0.235998630677546	1.0	1.0978276143602658E-79	"mitochondrion inheritance"
GO:0000002	6178	45	197	2	0.42308043181541516	1.0	3.625916929173886E-115	"mitochondrial genome maintenance"
GO:0000003	6178	490	197	9	0.9789063512857837	1.0	0.0	"reproduction"
GO:0032774	6178	770	197	30	0.13977427097330886	1.0	0.0	"RNA biosynthetic process"
GO:0032784	6178	52	197	3	0.22985893636566077	1.0	7.516769299407848E-130	"regulation of DNA-templated transcription, elongation"
GO:0032786	6178	49	197	2	0.4665523002604725	1.0	1.3044996159050566E-123	"positive regulation of DNA-templated transcription, elongation"
GO:0032787	6178	176	197	3	0.92454619221491	1.0	0.0	"monocarboxylic acid metabolic process"
GO:0000022	6178	16	197	1	0.4049738504178478	1.0	4.736917559957599E-48	"mitotic spindle elongation"
GO:0016407	6178	61	197	3	0.30808757787952323	1.0	3.9160473451005534E-148	"acetyltransferase activity"
GO:0016408	6178	6	197	1	0.17677104262214796	1.0	1.2980751612755431E-20	"C-acyltransferase activity"
GO:0016409	6178	12	197	1	0.3224243803399341	1.0	1.5660462930279868E-37	"palmitoyltransferase activity"
GO:0016410	6178	51	197	3	0.2213877866267626	1.0	8.85677798026569E-128	"N-acyltransferase activity"
GO:0000027	6178	40	197	2	0.3663341649154371	1.0	2.1511849663005598E-104	"ribosomal large subunit assembly"
GO:0016411	6178	5	197	1	0.14963314024587554	1.0	1.3355029950948291E-17	"acylglycerol O-acyltransferase activity"
GO:0000028	6178	24	197	1	0.5412449519756484	1.0	6.788636849792917E-68	"ribosomal small subunit assembly"
GO:0000030	6178	45	197	1	0.7686007650065922	1.0	3.625916929173886E-115	"mannosyltransferase activity"
GO:0032806	6178	13	197	2	0.06264676683867236	1.0	3.3017518341544422E-40	"carboxy-terminal domain protein kinase complex"
GO:0000041	6178	49	197	1	0.7969366609357496	1.0	1.3044996159050566E-123	"transition metal ion transport"
GO:0000042	6178	7	197	1	0.20304714511826913	1.0	1.4722174544616286E-23	"protein targeting to Golgi"
GO:0000045	6178	29	197	2	0.235998630677546	1.0	1.0978276143602658E-79	"autophagosome assembly"
GO:0000049	6178	33	197	1	0.657762390313259	1.0	7.548956042874796E-89	"tRNA binding"
GO:0000070	6178	123	197	4	0.5559650906991309	1.0	2.1933652665172294E-261	"mitotic sister chromatid segregation"
GO:0016454	6178	2	197	1	0.06276287943118607	1.0	5.2408833131183764E-8	"C-palmitoyltransferase activity"
GO:0000073	6178	13	197	2	0.06264676683867236	1.0	3.3017518341544422E-40	"spindle pole body separation"
GO:0016458	6178	158	197	5	0.5714275073331248	1.0	1.560877E-318	"gene silencing"
GO:0016459	6178	7	197	1	0.20304714511826913	1.0	1.4722174544616286E-23	"myosin complex"
GO:0016460	6178	3	197	1	0.09265855830949953	1.0	2.5457658580480047E-11	"myosin II complex"
GO:0016462	6178	426	197	13	0.6080028817797504	1.0	0.0	"pyrophosphatase activity"
GO:0000079	6178	33	197	3	0.08665247815371095	1.0	7.548956042874796E-89	"regulation of cyclin-dependent protein serine/threonine kinase activity"
GO:0000082	6178	64	197	1	0.8756754617482014	1.0	4.2791521454362524E-154	"G1/S transition of mitotic cell cycle"
GO:0016469	6178	25	197	2	0.18879225989603307	1.0	2.7578147748486836E-70	"proton-transporting two-sector ATPase complex"
