ID	Pop.total	Pop.term	Study.total	Study.term	p	p.adjusted	p.min	name
GO:0000469	6178	74	170	3	0.3332684084983174	1.0	1.5396963491280211E-173	"cleavage involved in rRNA processing"
GO:0000470	6178	49	170	2	0.39235030351189304	1.0	1.3044996159050566E-123	"maturation of LSU-rRNA"
GO:0098781	6178	57	170	1	0.7976604496959925	1.0	4.384807891559067E-140	"ncRNA transcription"
GO:0000478	6178	52	170	2	0.42142639610048216	1.0	7.516769299407848E-130	"endonucleolytic cleavage involved in rRNA processing"
GO:0000479	6178	52	170	2	0.42142639610048216	1.0	7.516769299407848E-130	"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000480	6178	31	170	1	0.5798401076267276	1.0	2.7007149428206348E-84	"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0016874	6178	143	170	4	0.5584482979173128	1.0	1.6367401135967384E-294	"ligase activity"
GO:0016875	6178	39	170	2	0.29154081278086375	1.0	3.3015311270238543E-102	"ligase activity, forming carbon-oxygen bonds"
GO:0016876	6178	39	170	2	0.29154081278086375	1.0	3.3015311270238543E-102	"ligase activity, forming aminoacyl-tRNA and related compounds"
GO:0098797	6178	18	170	1	0.3952561715108952	1.0	3.8180740768516367E-53	"plasma membrane protein complex"
GO:0098796	6178	304	170	8	0.6038231852663685	1.0	0.0	"membrane protein complex"
GO:0098798	6178	107	170	3	0.569082571231859	1.0	7.394581686290755E-234	"mitochondrial protein complex"
GO:0016879	6178	50	170	1	0.7535941125447607	1.0	1.0642026561407865E-125	"ligase activity, forming carbon-nitrogen bonds"
GO:0098800	6178	71	170	3	0.31048142454655314	1.0	9.01194208235465E-168	"inner mitochondrial membrane protein complex"
GO:0016881	6178	12	170	1	0.28475835280958484	1.0	1.5660462930279868E-37	"acid-amino acid ligase activity"
GO:0098805	6178	515	170	21	0.04308850452910204	1.0	0.0	"whole membrane"
GO:0000502	6178	63	170	3	0.25024237703770436	1.0	4.088596151429703E-152	"proteasome complex"
GO:0016887	6178	285	170	4	0.9584031958191261	1.0	0.0	"ATPase activity"
GO:0016891	6178	33	170	2	0.2298494957333618	1.0	7.548956042874796E-89	"endoribonuclease activity, producing 5'-phosphomonoesters"
GO:0098813	6178	172	170	5	0.515207205943639	1.0	0.0	"nuclear chromosome segregation"
GO:0016893	6178	41	170	2	0.312040565581032	1.0	1.436927071006873E-106	"endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters"
GO:0016896	6178	16	170	1	0.36045188460887934	1.0	4.736917559957599E-48	"exoribonuclease activity, producing 5'-phosphomonoesters"
GO:0016898	6178	4	170	2	0.004354945604552174	1.0	1.6490790983396384E-14	"oxidoreductase activity, acting on the CH-OH group of donors, cytochrome as acceptor"
GO:0016903	6178	29	170	1	0.5556056989138531	1.0	1.0978276143602658E-79	"oxidoreductase activity, acting on the aldehyde or oxo group of donors"
GO:0098827	6178	25	170	1	0.502890379973945	1.0	2.7578147748486836E-70	"endoplasmic reticulum subcompartment"
GO:1901068	6178	9	170	1	0.2222025657357164	1.0	2.78396485469723E-29	"guanosine-containing compound metabolic process"
GO:1901070	6178	6	170	1	0.15421054581691382	1.0	1.2980751612755431E-20	"guanosine-containing compound biosynthetic process"
GO:0016925	6178	18	170	3	0.012323100302039437	1.0	3.8180740768516367E-53	"protein sumoylation"
GO:0016926	6178	7	170	1	0.17750675566913315	1.0	1.4722174544616286E-23	"protein desumoylation"
GO:0033313	6178	10	170	1	0.24363643894522619	1.0	4.5128300449227395E-32	"meiotic cell cycle checkpoint"
GO:0098852	6178	178	170	5	0.5459918773196745	1.0	0.0	"lytic vacuole membrane"
GO:1901137	6178	233	170	6	0.6248887915023829	1.0	0.0	"carbohydrate derivative biosynthetic process"
GO:0016973	6178	26	170	1	0.5166249217276562	1.0	1.1653369762157367E-72	"poly(A)+ mRNA export from nucleus"
GO:1901135	6178	358	170	6	0.9354381967839631	1.0	0.0	"carbohydrate derivative metabolic process"
GO:0033365	6178	388	170	9	0.7500163915056299	1.0	0.0	"protein localization to organelle"
GO:0017038	6178	132	170	3	0.7099452723499985	1.0	1.8567830572986262E-276	"protein import"
GO:0017056	6178	25	170	1	0.502890379973945	1.0	2.7578147748486836E-70	"structural constituent of nuclear pore"
GO:0017069	6178	15	170	1	0.3423101893610756	1.0	1.8246014326231625E-45	"snRNA binding"
GO:0017076	6178	734	170	13	0.9736898467030415	1.0	0.0	"purine nucleotide binding"
GO:1901265	6178	901	170	20	0.8804413881974944	1.0	0.0	"nucleoside phosphate binding"
GO:0000723	6178	77	170	2	0.6309363281367109	1.0	2.9728333381028742E-179	"telomere maintenance"
GO:0017111	6178	404	170	8	0.8761523178180028	1.0	0.0	"nucleoside-triphosphatase activity"
GO:0017112	6178	9	170	1	0.2222025657357164	1.0	2.78396485469723E-29	"Rab guanyl-nucleotide exchange factor activity"
GO:0000741	6178	22	170	2	0.12155710686434872	1.0	4.659831018001235E-63	"karyogamy"
GO:0000742	6178	15	170	2	0.06251222187711947	1.0	1.8246014326231625E-45	"karyogamy involved in conjugation with cellular fusion"
GO:0000743	6178	5	170	1	0.13025848731111664	1.0	1.3355029950948291E-17	"nuclear migration involved in conjugation with cellular fusion"
GO:0000746	6178	123	170	5	0.25012054492595415	1.0	2.1933652665172294E-261	"conjugation"
GO:0000747	6178	122	170	5	0.24493667807843963	1.0	1.0799203295947079E-259	"conjugation with cellular fusion"
